"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.859624991E-3,2.138210551E-1,-6.439947903E-2,-1.164212796E0,1.185435857E0
1.680562505E-2,1.469624564E-1,-2.051261723E-2,-1.266081087E0,1.274747053E0
2.675062511E-2,4.203135755E-1,1.285264778E-1,-1.044709157E0,1.133401861E0
3.669662494E-2,9.204311197E-1,1.427200091E-1,-4.661486565E-1,1.041564696E0
4.664262501E-2,1.033911542E0,2.106985688E-2,4.538447991E-2,1.035121619E0
5.658862507E-2,9.859908324E-1,1.121443337E-1,2.027389003E-1,1.012846156E0
6.653462490E-2,7.671641222E-1,9.369753778E-2,1.811579968E-1,7.938124708E-1
7.648062496E-2,3.030544630E-1,-3.457458615E-2,6.846855640E-2,3.126105448E-1
8.642662503E-2,-7.866960883E-2,2.901446879E-2,-2.014552903E-1,2.182085717E-1
9.637162508E-2,-2.557343354E-1,2.085011852E-1,-3.069431537E-1,4.506516328E-1
1.063176249E-1,7.055630475E-2,3.271815366E-1,1.719081402E-2,3.351439602E-1
1.162636250E-1,3.190213817E-1,7.136526704E-2,2.693011183E-1,4.235454351E-1
1.262096250E-1,3.681732226E-1,-6.348497450E-2,3.442222233E-1,5.080066957E-1
1.361556251E-1,4.017273965E-1,1.197509766E-3,1.833799388E-1,4.416045030E-1
1.461016249E-1,2.674043546E-1,3.542769492E-2,-1.179484262E-1,2.944011577E-1
1.560466250E-1,3.334981374E-2,6.469300926E-2,-4.046442801E-1,4.111379196E-1
1.659926251E-1,-1.255442517E-1,-4.297703505E-4,-6.519915886E-1,6.639688061E-1
1.759386249E-1,-2.821068860E-1,-5.097485662E-2,-7.970292878E-1,8.470173651E-1
1.858846250E-1,-4.433953862E-1,-1.187744915E-1,-7.399604630E-1,8.707745605E-1
1.958306250E-1,-3.797887165E-1,-6.804229438E-2,-3.867208099E-1,5.462803382E-1
2.057766251E-1,-2.820614970E-1,-1.633945942E-2,3.916581988E-2,2.852360907E-1
2.157216249E-1,-1.298976133E-1,3.383023560E-2,2.803523558E-1,3.108300472E-1
2.256676250E-1,2.260494833E-1,1.595974123E-1,4.732654488E-1,5.482243044E-1
2.356136250E-1,4.865638079E-1,2.304171342E-1,4.716539562E-1,7.157470568E-1
2.455596251E-1,5.089457069E-1,2.624195302E-1,4.687828271E-1,7.400318111E-1
2.555056249E-1,3.872048132E-1,2.590252215E-1,5.435022032E-1,7.158325765E-1
2.654516250E-1,2.938268623E-1,3.229575080E-1,5.714249969E-1,7.191399752E-1
2.753976251E-1,2.000583905E-1,3.295870811E-1,3.864335655E-1,5.458771878E-1
2.853426251E-1,7.119390707E-2,2.619535071E-1,1.279160285E-1,3.000845258E-1
2.952886249E-1,1.800273646E-2,2.275595999E-1,-2.806882784E-2,2.299898457E-1
3.052346250E-1,-5.804958556E-2,1.957671189E-1,-1.024410255E-1,2.284484251E-1
3.151806251E-1,-5.228445020E-2,1.701264936E-1,-8.153883755E-2,1.957684080E-1
3.251266249E-1,3.809391562E-2,1.662065202E-1,-8.996496767E-2,1.927937996E-1
3.350726250E-1,1.129150333E-1,8.477117836E-2,-1.653130656E-1,2.174036961E-1
3.450186250E-1,4.911763474E-2,4.381318688E-2,-1.732247870E-1,1.853077554E-1
3.549636251E-1,-1.319992488E-1,9.747483909E-2,-3.007383808E-2,1.668220060E-1
3.649096249E-1,-2.420119801E-1,1.348935109E-1,9.734839305E-2,2.936711893E-1
3.748556250E-1,-2.502093744E-1,8.803684831E-2,1.739340542E-1,3.171880719E-1
