"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.269208198E-3,-5.354602717E-1,-4.884652859E-1,-1.460473379E0,1.630428940E0
1.221620827E-2,-5.203956150E-1,-4.237535655E-2,-1.668017960E0,1.747824700E0
2.216320834E-2,-2.731155859E-1,1.994298148E-1,-1.310017796E0,1.352963784E0
3.210920817E-2,1.960045524E-1,1.231622422E-1,-8.899301425E-1,9.195446596E-1
4.205620824E-2,6.831632414E-1,2.393464172E-1,-8.478491932E-2,7.288259082E-1
5.200220831E-2,8.363772485E-1,3.525982136E-1,6.505974662E-1,1.116749509E0
6.194920838E-2,6.793081722E-1,1.561411232E-1,9.651738676E-1,1.190546193E0
7.189520821E-2,4.090241735E-1,-1.586530870E-1,9.876777542E-1,1.080730735E0
8.184220828E-2,4.431089457E-2,-4.506741464E-1,5.879416269E-1,7.421226302E-1
9.178920835E-2,-3.932669506E-1,-6.464412653E-1,3.695557237E-2,7.575690848E-1
1.017352082E-1,-5.403850160E-1,-6.782694143E-1,-4.266409206E-1,9.664821980E-1
1.116822083E-1,-3.533196869E-1,-6.045278388E-1,-7.963305455E-1,1.060391931E0
1.216282083E-1,-1.974703398E-2,-4.076292837E-1,-9.042236611E-1,9.920544378E-1
1.315752084E-1,2.482329424E-1,-2.695595652E-1,-1.084266155E0,1.144515202E0
1.415212082E-1,1.956222907E-1,-3.655714309E-1,-1.248150162E0,1.315214575E0
1.514682083E-1,-1.973825584E-1,-5.467058927E-1,-1.194717720E0,1.328607406E0
1.614142084E-1,-4.119957285E-1,-6.419418329E-1,-1.025334992E0,1.277944304E0
1.713612082E-1,-1.637752845E-1,-5.937748092E-1,-5.438644382E-1,8.216930054E-1
1.813082083E-1,1.621627320E-1,-4.084321064E-1,1.532587382E-1,4.654049613E-1
1.912542083E-1,2.521115833E-1,-2.318052632E-1,6.122409010E-1,7.015218110E-1
2.012012082E-1,4.116848394E-1,6.405215442E-2,4.858331618E-1,6.400163643E-1
2.111472082E-1,3.014293390E-1,3.871587664E-1,-3.624498948E-1,6.100176088E-1
2.210942083E-1,2.054001874E-1,9.209504986E-1,-1.106955106E0,1.454540706E0
2.310402084E-1,1.989991674E-1,1.881365610E0,-1.464669049E0,2.392570302E0
2.409872082E-1,2.251545304E-1,3.628681462E0,-1.143617733E0,3.811283935E0
2.509332083E-1,3.769244945E-1,6.679844543E0,-1.250427067E-1,6.691638878E0
2.608802083E-1,3.527876633E-1,1.112739640E1,9.970894325E-1,1.117754879E1
2.708272082E-1,-1.995982512E-1,1.557833087E1,2.081504692E0,1.571804357E1
2.807732082E-1,-1.553355230E0,1.952372910E1,3.197127711E0,1.984466014E1
2.907202083E-1,-3.267843644E0,2.407896036E1,4.207754032E0,2.466131237E1
3.006662084E-1,-4.189687305E0,2.911955495E1,6.838591186E0,3.020377939E1
3.106132082E-1,-2.769101585E0,3.303210938E1,1.075516967E1,3.484912980E1
3.205592083E-1,-1.111489183E0,3.391887939E1,1.385868930E1,3.665772847E1
3.305062084E-1,-1.137678643E0,3.187016939E1,1.518351985E1,3.532055046E1
3.404522082E-1,-2.449737191E0,2.811366078E1,1.445355695E1,3.170622089E1
3.503992083E-1,-3.453822524E0,2.358986650E1,1.348954990E1,2.739304013E1
3.603462083E-1,-3.551183635E0,1.840134670E1,1.282229605E1,2.270752610E1
3.702922084E-1,-2.756312262E0,1.318163085E1,1.203012580E1,1.805759053E1
3.802392082E-1,-1.604381543E0,8.201018161E0,1.056482175E1,1.347019664E1
3.901852083E-1,-8.928591590E-1,2.929803536E0,8.333240079E0,8.878278912E0
4.001322084E-1,-7.166674948E-1,-2.265065748E0,6.057674485E0,6.506885224E0
4.100782082E-1,-6.698866998E-1,-6.698656206E0,4.163545573E0,7.915545142E0
4.200252083E-1,-1.808157885E-1,-9.668149472E0,2.560636067E0,1.000313279E1
4.299722083E-1,1.001172397E0,-1.125102525E1,1.800787031E0,1.143812700E1
4.399182082E-1,1.994694589E0,-1.201516044E1,1.271760634E0,1.224582631E1
4.498652082E-1,2.665418757E0,-1.236992738E1,3.297994812E-1,1.265813289E1
4.598112083E-1,2.437028706E0,-1.306847787E1,-6.353145987E-1,1.330893862E1
4.697582084E-1,2.154213941E0,-1.347820045E1,-1.377509868E0,1.371860265E1
4.797042082E-1,1.858445986E0,-1.361024111E1,-1.401729620E0,1.380787205E1
4.896512083E-1,1.346552661E0,-1.379747597E1,-1.016936637E0,1.390027724E1
4.995972083E-1,9.642000870E-1,-1.407906150E1,-5.865827340E-1,1.412422507E1
5.095442082E-1,6.745099470E-1,-1.423389577E1,-3.163787325E-1,1.425338023E1
5.194912083E-1,5.022133324E-1,-1.417082186E1,-3.202753901E-1,1.418333482E1
5.294372083E-1,8.543614566E-1,-1.373984815E1,-4.579487040E-1,1.377400006E1
5.393842084E-1,1.077881508E0,-1.299383114E1,-1.627834871E-1,1.303947755E1
5.493302082E-1,7.718166056E-1,-1.215187068E1,4.985914940E-1,1.218656044E1
5.592772083E-1,6.309078446E-1,-1.119584975E1,9.002016538E-1,1.124968708E1
5.692232084E-1,6.862648970E-1,-1.004586732E1,9.229251764E-1,1.011148855E1
5.791702082E-1,4.968593294E-1,-8.779120093E0,8.916998023E-1,8.838266082E0
5.891172083E-1,2.905086771E-1,-7.592535265E0,7.807687658E-1,7.638101001E0
5.990632083E-1,1.145146488E-1,-6.720346452E0,7.561700412E-1,6.763724061E0
6.090102082E-1,-5.721734405E-2,-6.041741408E0,6.620754775E-1,6.078178757E0
6.189562082E-1,-1.384665434E-1,-5.374846582E0,6.042308003E-1,5.410475360E0
6.289032083E-1,7.939203233E-2,-4.603860208E0,5.261674746E-1,4.634510127E0
6.388492084E-1,4.990933312E-1,-3.741940275E0,-4.046857953E-3,3.775079807E0
6.487962082E-1,9.231505866E-1,-3.052015021E0,-7.761927348E-1,3.281688263E0
6.587422083E-1,1.376764201E0,-2.435668205E0,-1.317837862E0,3.092677788E0
6.686892083E-1,1.732001263E0,-1.654266186E0,-1.158866175E0,2.660713401E0
6.786362082E-1,1.549698382E0,-1.176352785E0,-5.892619282E-1,2.032879871E0
6.885822082E-1,1.051660107E0,-1.265549136E0,-5.221295337E-1,1.726332195E0
6.985292083E-1,7.145376465E-1,-1.584365062E0,-8.586186681E-1,1.938556864E0
7.084752084E-1,4.235821690E-1,-1.792794326E0,-1.191345631E0,2.193818078E0
7.184222082E-1,3.611037196E-1,-1.602728242E0,-1.219759006E0,2.046202763E0
7.283682083E-1,4.959675925E-1,-1.143083298E0,-9.279572902E-1,1.553617717E0
7.383152083E-1,6.710849404E-1,-8.374341327E-1,-7.273433411E-1,1.296410143E0
7.482622082E-1,9.848260671E-1,-7.674482238E-1,-7.395534968E-1,1.451136980E0
7.582082083E-1,9.934712485E-1,-9.466045725E-1,-7.394604530E-1,1.558796683E0
7.681552083E-1,6.660595509E-1,-1.400011123E0,-6.659901883E-1,1.687367595E0
7.781012084E-1,2.853162765E-1,-1.765353343E0,-3.538683019E-1,1.822937349E0
7.880479582E-1,-1.816367193E-1,-2.021960156E0,5.869369291E-2,2.030950447E0
7.979939582E-1,-5.053288020E-1,-2.105042658E0,1.696471681E-1,2.171483814E0
8.079409583E-1,-6.352284984E-1,-2.106274667E0,1.776594615E-1,2.207140934E0
8.178869584E-1,-5.695124457E-1,-2.129446013E0,1.182388135E-1,2.207456719E0
8.278339582E-1,-5.075370761E-1,-2.095450301E0,5.638908595E-3,2.156046763E0
8.377809583E-1,-5.856690335E-1,-2.104347425E0,-1.726486170E-1,2.191139851E0
8.477269583E-1,-6.361070426E-1,-1.975974144E0,-1.229154897E-1,2.079474502E0
8.576739582E-1,-6.711831737E-1,-1.700531695E0,1.303894007E-1,1.832838316E0
8.676199582E-1,-6.938468353E-1,-1.492117633E0,3.328034882E-1,1.678867661E0
8.775669583E-1,-6.549135885E-1,-1.369524910E0,4.434354396E-1,1.581500957E0
8.875129584E-1,-5.710569512E-1,-1.294861813E0,3.833570530E-1,1.466197731E0
8.974599582E-1,-4.381293838E-1,-1.220327355E0,1.412821788E-1,1.304268709E0
9.074069583E-1,-2.170894659E-1,-1.121031108E0,-2.565332843E-1,1.170319575E0
9.173529583E-1,3.877107801E-2,-9.395569235E-1,-4.160052739E-1,1.028265917E0
9.272999582E-1,1.216219211E-1,-6.956356448E-1,-2.107026619E-1,7.369507811E-1
9.372459583E-1,-1.212964687E-2,-7.273579592E-1,1.160277620E-2,7.275516157E-1
9.471929583E-1,-1.239380855E-1,-9.648420382E-1,1.366020674E-1,9.823140702E-1
9.571389584E-1,-1.846314256E-1,-1.228846748E0,1.070446846E-1,1.247241620E0
9.670859582E-1,-2.591538237E-1,-1.479771237E0,-4.652629495E-3,1.502299992E0
9.770319583E-1,-3.864234425E-1,-1.602951606E0,6.035320580E-2,1.649975587E0
