"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-7.148333825E-4,1.449140306E-1,3.951273519E-1,-7.790978508E-1,8.855050320E-1
9.232166689E-3,-2.885184310E-2,1.837972838E-1,-4.809686438E-1,5.156982710E-1
1.917816675E-2,-1.965792241E-1,-1.415523201E-1,-2.397299945E-1,3.408092149E-1
2.912516682E-2,-5.267924689E-2,-8.469867289E-2,1.984649511E-1,2.221200240E-1
3.907216666E-2,1.210329786E-1,3.749410093E-2,3.165413582E-1,3.409592659E-1
4.901916673E-2,-2.732747398E-2,-1.577695727E-2,1.341504760E-1,1.378116593E-1
5.896616681E-2,-1.636953603E-1,-3.104579151E-2,8.936884403E-2,1.890682481E-1
6.891216664E-2,-2.284188482E-1,1.323546499E-1,2.480300441E-1,3.622317302E-1
7.885916671E-2,-2.050163908E-1,1.461441386E-1,3.843269598E-1,4.594529811E-1
8.880616678E-2,-9.470391668E-2,9.355603516E-2,3.079979184E-1,3.355358122E-1
9.875316662E-2,-1.943740929E-1,1.128717273E-1,6.163776599E-2,2.330676490E-1
1.087001667E-1,-3.251820812E-1,2.122539282E-3,-8.300071456E-2,3.356143765E-1
1.186461668E-1,-4.516175947E-1,-2.151126319E-1,-9.101176545E-2,5.084437409E-1
1.285931668E-1,-4.394550207E-1,-3.514585912E-1,5.213435948E-2,5.651210914E-1
1.385401667E-1,-3.222526992E-1,-2.251850456E-1,3.733108056E-1,5.421402627E-1
1.484871667E-1,-1.672620157E-1,-1.094493520E-1,4.995854475E-1,5.380904775E-1
1.584331668E-1,-7.058941461E-2,-3.508329391E-3,3.203875836E-1,3.280905021E-1
1.683801666E-1,-9.453420125E-2,5.505387425E-2,6.860940121E-2,1.291313061E-1
1.783271667E-1,-2.891879372E-2,5.348740518E-2,9.572279401E-2,1.134021712E-1
1.882741668E-1,3.345586762E-2,8.582952440E-2,3.034757549E-1,3.171490756E-1
1.982211666E-1,4.753757089E-2,5.253372431E-2,5.150537449E-1,5.199038113E-1
2.081671667E-1,1.941727294E-1,1.180231243E-1,4.469940551E-1,5.014341352E-1
2.181141668E-1,3.014657745E-1,2.373063236E-1,1.633122946E-1,4.169733924E-1
2.280615834E-1,2.989912328E-1,1.735745966E-1,5.650676116E-3,3.457684602E-1
2.380085834E-1,2.552571295E-1,1.471521986E-1,7.552556098E-2,3.041612764E-1
2.479555835E-1,1.278163335E-1,3.761513829E-2,1.434930110E-1,1.958115368E-1
2.579015833E-1,-3.140831888E-3,-8.415955961E-2,2.522028364E-1,2.658927735E-1
2.678485834E-1,8.918231785E-2,-1.233932072E-1,3.604416686E-1,3.912768405E-1
2.777955835E-1,2.083210178E-1,-4.194149315E-2,4.015253752E-1,4.542899540E-1
2.877425833E-1,2.799206851E-1,1.065310067E-1,2.929472584E-1,4.189541043E-1
2.976895834E-1,4.100005489E-1,2.030106497E-1,2.143584873E-1,5.052359202E-1
3.076355834E-1,3.734696306E-1,1.696341580E-1,1.300001223E-1,4.302968096E-1
3.175825833E-1,2.786782980E-1,1.340450799E-1,1.123296905E-1,3.290100858E-1
3.275295834E-1,4.521688409E-1,2.302756315E-1,1.229179747E-1,5.221037787E-1
3.374765834E-1,5.821496674E-1,3.034120202E-1,-3.842541620E-2,6.575968384E-1
3.474225835E-1,3.301593773E-1,1.645611137E-1,-2.158873880E-1,4.274259455E-1
3.573695833E-1,-1.452777274E-2,-3.883486748E-2,-1.657814276E-1,1.708879307E-1
3.673165834E-1,-3.220230498E-1,-2.190203261E-1,1.370809543E-1,4.128679400E-1
3.772635835E-1,-5.156027985E-1,-3.704380685E-1,4.046921542E-1,7.528919896E-1
3.872105833E-1,-2.745400773E-1,-2.909323078E-1,6.099464536E-1,7.294165737E-1
3.971565834E-1,-7.429574534E-2,-6.955438435E-2,4.475669360E-1,4.589921921E-1
4.071035834E-1,-3.933283098E-2,1.449349344E-2,-1.082190979E-1,1.160538930E-1
4.170505833E-1,5.559854239E-2,7.643187940E-2,-3.998353837E-1,4.108544319E-1
4.269975834E-1,7.448007882E-2,1.427241021E-1,-2.554046255E-1,3.019088840E-1
4.369445834E-1,1.179740808E-1,1.811841631E-1,-1.888416767E-2,2.170304045E-1
4.468905835E-1,1.900823097E-1,2.214890206E-1,1.274195999E-1,3.184720163E-1
4.568375833E-1,1.809253507E-1,2.120744187E-1,1.189633566E-1,3.030871521E-1
4.667845834E-1,1.345356613E-2,1.523877954E-1,8.806608438E-2,1.765181970E-1
4.767315835E-1,-2.337336749E-2,2.378062606E-2,1.526415646E-2,3.667188236E-2
4.866775833E-1,4.114473693E-2,-6.782887101E-2,2.563726321E-2,8.337214394E-2
4.966245834E-1,4.589048333E-2,-1.503032631E-1,-7.029529966E-2,1.721581729E-1
5.065715834E-1,-1.705340445E-2,-2.117013663E-1,-1.924264584E-1,2.865941887E-1
5.165185833E-1,-8.924239799E-3,-2.146963102E-1,-3.914699185E-1,4.465678501E-1
5.264655834E-1,2.121347912E-2,-1.281616116E-1,-5.161056590E-1,5.322034025E-1
5.364115834E-1,7.463020608E-2,-4.137957573E-2,-3.430707604E-1,3.535243748E-1
5.463585835E-1,9.507945411E-2,-2.675978243E-2,-1.518049011E-1,1.811102332E-1
5.563055833E-1,3.282334507E-3,-3.027688265E-3,8.629861727E-2,8.641407269E-2
5.662525834E-1,-4.164445460E-2,-5.063220978E-2,1.929155780E-1,2.037505865E-1
5.761995835E-1,-6.227993645E-2,-9.105751991E-2,1.833267291E-1,2.139601646E-1
5.861455833E-1,-1.215696068E-1,-1.356478018E-1,5.654549897E-2,1.907272631E-1
