"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.068083251E-3,-6.570199017E-1,-1.265471953E-1,-3.978685266E-1,7.784527656E-1
1.901408331E-2,-5.404949802E-1,-1.238323331E-2,-4.386049817E-1,6.961770594E-1
2.896108315E-2,-3.713427790E-1,1.348186666E-1,-3.519427407E-1,5.290890521E-1
3.890708322E-2,-1.137410621E-1,1.900684226E-1,-1.122356234E-1,2.483140544E-1
4.885308328E-2,8.091640145E-2,1.450197190E-1,1.726665241E-1,2.395660899E-1
5.879908334E-2,1.346150373E-1,-1.175290346E-4,4.190781319E-1,4.401678120E-1
6.874608318E-2,1.467772458E-1,-7.162897646E-2,5.491500288E-1,5.729223545E-1
7.869208325E-2,3.515521467E-2,-8.797837615E-2,4.914152793E-1,5.004648444E-1
8.863808331E-2,-1.893404442E-1,-1.575058633E-1,4.007558817E-1,4.703862004E-1
9.858408314E-2,-4.681481119E-1,-2.144659299E-1,1.779039482E-1,5.448009770E-1
1.085310832E-1,-7.336510250E-1,-2.119510424E-1,-1.119215548E-2,7.637357758E-1
1.184770833E-1,-7.887875643E-1,-1.619205111E-1,-8.297659479E-2,8.094993445E-1
1.284230833E-1,-6.628245789E-1,-9.127679050E-2,-6.081170060E-2,6.718377317E-1
1.383690832E-1,-4.085159408E-1,-5.115728974E-3,1.886947654E-2,4.089834981E-1
1.483160832E-1,-6.378617920E-2,5.607889116E-2,1.297601672E-1,1.550845566E-1
1.582620833E-1,1.579240854E-1,9.398989856E-2,2.302732927E-1,2.946182396E-1
1.682080831E-1,3.284878776E-1,1.555762821E-1,3.083125716E-1,4.766181985E-1
1.781540832E-1,4.148013322E-1,2.096086478E-1,3.011503172E-1,5.537936836E-1
1.881010833E-1,3.396574482E-1,1.440958589E-1,1.731875110E-1,4.075839946E-1
1.980470833E-1,2.430380568E-1,9.594754636E-2,1.138569832E-2,2.615397921E-1
2.079930832E-1,1.074539897E-1,8.630314887E-2,-1.482660200E-1,2.024287680E-1
2.179400832E-1,-1.046104887E-1,6.331832886E-2,-2.757272813E-1,3.016257595E-1
2.278860833E-1,-2.922101437E-1,-1.403624117E-2,-3.274721432E-1,4.391147785E-1
2.378320831E-1,-4.050220102E-1,-5.660514057E-2,-2.960053521E-1,5.048426876E-1
2.477780832E-1,-3.607113715E-1,-3.494237602E-2,-1.552062265E-1,3.942367764E-1
2.577250833E-1,-1.766307170E-1,7.481278539E-2,1.242808145E-1,2.285630852E-1
2.676710833E-1,5.178871594E-2,2.108231145E-1,4.118900766E-1,4.655984235E-1
2.776170832E-1,3.126849002E-1,2.525541079E-1,5.632499316E-1,6.919580259E-1
2.875630832E-1,4.661365966E-1,5.756525338E-2,5.360124316E-1,7.126755306E-1
2.975100833E-1,4.364461166E-1,-2.086146212E-1,3.503949827E-1,5.973122439E-1
3.074560831E-1,1.794680053E-1,-3.558434182E-1,1.195487360E-1,4.160831690E-1
3.174020832E-1,-1.464637620E-1,-2.962234533E-1,-3.061251283E-2,3.318690914E-1
3.273480833E-1,-3.829417545E-1,-1.331334990E-1,-1.484567124E-1,4.317502882E-1
3.372950833E-1,-4.428780538E-1,-2.129555941E-2,-2.001315538E-1,4.864638838E-1
3.472410832E-1,-3.020999781E-1,2.963602781E-2,-2.133182676E-1,3.710085905E-1
3.571870832E-1,-1.039478530E-1,-4.671340585E-3,-1.950380442E-1,2.210584001E-1
3.671330833E-1,1.399517179E-1,-9.751927793E-2,-1.345309836E-1,2.172442829E-1
3.770800831E-1,2.803455584E-1,-1.375908315E-1,-9.970854856E-2,3.278210849E-1
3.870260832E-1,2.954970829E-1,-7.634884894E-2,-7.263243176E-2,3.137246291E-1
3.969720833E-1,2.614345667E-1,4.394884229E-2,-4.080187082E-2,2.682243950E-1
4.069188333E-1,1.725435863E-1,1.177295941E-1,-2.288775623E-2,2.101318536E-1
4.168658333E-1,8.936811313E-2,4.610821903E-2,2.999628939E-2,1.049400061E-1
4.268118332E-1,4.500645742E-2,1.464727521E-2,1.417020088E-1,1.493974002E-1
4.367578332E-1,2.446877025E-2,2.990967751E-2,2.147121707E-1,2.181619256E-1
4.467048333E-1,5.405707017E-2,8.346023262E-2,2.647976658E-1,2.828525784E-1
4.566508331E-1,1.191063210E-1,1.305233020E-1,2.312317244E-1,2.910167666E-1
4.665968332E-1,9.274509944E-2,6.231611609E-2,9.405604519E-2,1.460530432E-1
4.765428333E-1,2.605957836E-2,1.717619598E-2,-8.108860195E-2,8.688777071E-2
4.864898333E-1,-8.556661896E-2,1.714988351E-3,-1.664678176E-1,1.871793840E-1
4.964358332E-1,-1.789319618E-1,-3.668952405E-2,-1.212227207E-1,2.192207019E-1
5.063818332E-1,-2.104469924E-1,1.656340778E-2,4.727948941E-2,2.163276062E-1
5.163278333E-1,-1.964771902E-1,7.447247744E-2,2.801196367E-1,3.501663133E-1
5.262748331E-1,-1.166555337E-1,3.773792982E-3,3.827359325E-1,4.001369129E-1
5.362208332E-1,-1.142499892E-1,-1.406436628E-1,3.107841897E-1,3.597506254E-1
5.461668333E-1,-7.475065872E-2,-1.516299963E-1,2.371933993E-1,2.912731114E-1
5.561128333E-1,-4.570030265E-2,-3.179248095E-2,2.327011297E-1,2.392678317E-1
5.660598332E-1,-5.798391402E-2,5.863587856E-2,2.601052022E-1,2.728644659E-1
5.760058332E-1,-5.227388866E-2,8.695920646E-2,3.083494091E-1,3.246133409E-1
5.859518333E-1,-2.844787359E-2,2.269947588E-2,1.918372053E-1,1.952589590E-1
5.958988331E-1,-9.684085473E-3,-1.122940224E-1,4.334307075E-2,1.207574046E-1
6.058448332E-1,1.658080325E-2,-1.487683690E-1,-6.832522653E-2,1.645456995E-1
6.157908333E-1,8.283501908E-2,-1.043745536E-1,-1.708370034E-1,2.166586475E-1
6.257368333E-1,1.431394737E-1,-8.263811409E-2,-3.047544678E-1,3.466889853E-1
6.356838332E-1,1.591704194E-1,-7.551795959E-2,-3.222066524E-1,3.672265125E-1
6.456298332E-1,1.419194522E-1,2.381687880E-2,-2.418636435E-1,2.814363102E-1
6.555758333E-1,8.552371502E-2,9.806774676E-2,-2.701156354E-1,2.998233568E-1
6.655218333E-1,-5.832137145E-2,2.075059891E-2,-2.796980524E-1,2.864663510E-1
6.754688332E-1,-1.892232075E-1,-1.301987815E-1,-1.342456394E-1,2.660432985E-1
6.854148332E-1,-1.749818022E-1,-2.108219451E-1,-3.735954188E-2,2.765144824E-1
6.953608333E-1,-1.173017972E-1,-1.190574968E-1,-1.406079948E-2,1.677262807E-1
7.053068331E-1,-8.013630979E-2,-3.113057613E-3,4.446917139E-2,9.170074415E-2
7.152538332E-1,-3.855829418E-2,6.148347259E-2,4.937213480E-2,8.777566375E-2
7.251998333E-1,4.218751475E-2,4.144506454E-2,2.048922837E-2,6.258824375E-2
7.351458333E-1,7.929314129E-2,1.518171072E-2,3.014181197E-2,8.617665243E-2
7.450928332E-1,2.405493356E-2,-1.764748156E-2,1.935954630E-2,3.556494717E-2
7.550388332E-1,-9.948160350E-2,-4.749810219E-2,8.335315548E-2,1.382042245E-1
7.649848333E-1,-3.253617369E-1,-1.658252817E-1,1.177329563E-2,3.653722682E-1
7.749308331E-1,-5.366333328E-1,-2.877262795E-1,-1.046406019E-1,6.178279707E-1
7.848778332E-1,-6.773498666E-1,-3.340818357E-1,-1.940543964E-1,7.797888326E-1
7.948238333E-1,-7.215448766E-1,-3.710222054E-1,-3.011339450E-1,8.654282978E-1
8.047698333E-1,-7.181618969E-1,-3.918423861E-1,-4.169199977E-1,9.182152527E-1
8.147158332E-1,-7.222943435E-1,-3.677115119E-1,-5.201099054E-1,9.630343650E-1
8.246628332E-1,-7.512458816E-1,-2.974303186E-1,-6.925776241E-1,1.064189332E0
8.346088333E-1,-8.122329256E-1,-2.798986119E-1,-7.845391236E-1,1.163429067E0
8.445548331E-1,-9.381565154E-1,-2.299973041E-1,-6.737974638E-1,1.177726381E0
8.545008332E-1,-9.911998245E-1,-8.549155533E-2,-4.920917290E-1,1.109928001E0
8.644478333E-1,-1.041140528E0,5.504568815E-2,-1.925090504E-1,1.060218544E0
8.743938333E-1,-1.351916166E0,2.377033496E-1,1.791176109E-1,1.384291632E0
8.843398332E-1,-1.576020500E0,2.007664883E-1,5.101395987E-1,1.668649217E0
8.942868332E-1,-1.470129325E0,6.171151400E-2,7.412181991E-1,1.647571838E0
9.042328333E-1,-1.321102948E0,1.011159003E-2,9.229976088E-1,1.611626454E0
9.141788331E-1,-1.277786920E0,3.335953474E-2,9.372640841E-1,1.585028781E0
9.241248332E-1,-1.403165696E0,1.869343150E-1,8.127740854E-1,1.632305156E0
9.340718333E-1,-1.631049524E0,2.860913980E-1,4.488626790E-1,1.715706426E0
9.440178333E-1,-1.727307850E0,2.919105470E-1,-6.229981698E-2,1.752907711E0
9.539638332E-1,-1.687192588E0,3.146772659E-1,-4.698256049E-1,1.779431569E0
9.639098332E-1,-1.863057247E0,3.788124508E-1,-6.733835540E-1,2.016910159E0
9.738568333E-1,-2.297335362E0,4.417097801E-1,-5.035564379E-1,2.392995274E0
9.838028331E-1,-2.924710319E0,5.609555572E-1,1.613274573E-1,2.982386315E0
9.937488332E-1,-3.719518542E0,7.243402112E-1,9.311550593E-1,3.902119510E0
1.003694833E0,-4.553911830E0,9.153342479E-1,1.696687735E0,4.945169260E0
1.013641833E0,-5.203486326E0,1.040196860E0,1.903315473E0,5.637454145E0
1.023587833E0,-5.538519503E0,1.315118322E0,1.665729652E0,5.931221608E0
1.033533833E0,-6.010135453E0,1.783759793E0,1.026611440E0,6.352752018E0
1.043480833E0,-7.155447709E0,2.226272396E0,5.479180205E-1,7.513782992E0
1.053426833E0,-9.128702313E0,2.618643370E0,5.699274518E-1,9.513953769E0
1.063372833E0,-1.188042890E1,2.993506612E0,8.345642462E-1,1.228015350E1
1.073318833E0,-1.480830285E1,3.162562480E0,1.287430002E0,1.519687832E1
1.083265833E0,-1.688057362E1,2.974225418E0,2.330387333E0,1.729827991E1
1.093211833E0,-1.839092579E1,2.432242906E0,3.228213263E0,1.882985178E1
1.103157833E0,-1.976302757E1,1.279448553E0,3.607748430E0,2.013032777E1
1.113103833E0,-2.126581579E1,-6.358969814E-1,4.155130845E0,2.167727839E1
1.123050833E0,-2.177211918E1,-2.416899812E0,5.298435752E0,2.253752426E1
1.132996833E0,-2.073201880E1,-2.883943239E0,7.322340108E0,2.217544580E1
1.142942833E0,-1.915376758E1,-1.718212506E0,1.080648483E1,2.205899320E1
1.152889833E0,-1.734593480E1,-4.255673718E-1,1.453020694E1,2.263160346E1
1.162835833E0,-1.492194466E1,-1.968336511E-1,1.684117859E1,2.250174376E1
1.172781833E0,-1.254961349E1,-5.367486691E-1,1.732234596E1,2.139730281E1
1.182727833E0,-1.025069178E1,-9.589322573E-1,1.709733341E1,1.995783162E1
1.192674833E0,-8.148787322E0,-1.046923497E0,1.777578351E1,1.958257549E1
