"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-4.000007175E-5,-6.274866387E-1,4.429435426E-1,-1.645587164E0,1.816010897E0
9.905999992E-3,-6.473256567E-1,4.488235027E-1,-1.522876473E0,1.714533696E0
1.985199982E-2,-8.617201044E-1,3.371399295E-1,-1.011496972E0,1.370894232E0
2.979899989E-2,-7.858065806E-1,1.358039224E-1,1.824828297E-1,8.180676443E-1
3.974499996E-2,-5.564901117E-1,2.245857060E-2,1.628340801E0,1.720953049E0
4.969200003E-2,-4.831587915E-1,-9.990084887E-2,2.167739867E0,2.223177619E0
5.963799986E-2,-8.590812559E-1,-1.574544078E-1,1.726881003E0,1.935182289E0
6.958399992E-2,-1.499408234E0,-2.501777995E-1,8.791943622E-1,1.756074233E0
7.953100000E-2,-1.781376176E0,-2.780234098E-1,1.649737810E-1,1.810473541E0
8.947699983E-2,-1.802225008E0,-2.207627964E-1,-3.941374183E-2,1.816123518E0
9.942399990E-2,-1.614001236E0,-7.966246605E-3,5.566021590E-1,1.707298865E0
1.093700000E-1,-1.233087003E0,8.871161699E-2,1.164427243E0,1.698312136E0
1.193160000E-1,-1.314637097E0,-2.151658416E-2,1.081070506E0,1.702188914E0
1.292629999E-1,-1.631047477E0,-3.285901308E-2,5.487518334E-1,1.721198467E0
1.392089999E-1,-1.355367193E0,-2.909808397E-2,6.885213375E-2,1.357426809E0
1.491560000E-1,-7.611685335E-1,2.002045709E-1,-1.149052428E-1,7.954009187E-1
1.591019998E-1,-4.714085558E-2,4.944516653E-1,-1.419228874E-1,5.165721784E-1
1.690479999E-1,5.083417261E-1,5.407019717E-1,-2.635948205E-1,7.875608942E-1
1.789950000E-1,5.470503302E-1,4.144658482E-1,-2.048652403E-1,7.162511918E-1
1.889410000E-1,2.664842221E-1,1.991625971E-1,-3.471151333E-1,4.807998507E-1
1.988886667E-1,2.154635014E-2,-1.275839067E-1,-3.370187460E-1,3.610035091E-1
2.088346665E-1,5.343668059E-2,-3.291935635E-1,-5.313218683E-3,3.335447666E-1
2.187806666E-1,2.814653368E-1,-3.962254590E-1,3.669917196E-1,6.090158228E-1
2.287276667E-1,7.213996464E-1,-2.635018498E-1,7.944974434E-1,1.105023467E0
2.386736665E-1,1.202753695E0,-5.038721144E-2,1.020563080E0,1.578196541E0
2.486206666E-1,2.006368555E0,2.519477516E-1,1.215119386E0,2.359132801E0
2.585666666E-1,3.025640570E0,5.486413211E-1,1.476222708E0,3.410973709E0
2.685136667E-1,4.245969679E0,9.740332764E-1,2.131623516E0,4.849826611E0
2.784596665E-1,5.972875825E0,1.271275899E0,2.690657094E0,6.673156946E0
2.884056666E-1,7.676597176E0,1.780878870E0,2.846287755E0,8.378724708E0
2.983526667E-1,9.909550016E0,2.334761635E0,3.226908165E0,1.068003884E1
3.082986665E-1,1.253502469E1,2.284145213E0,3.971491436E0,1.334604464E1
3.182456666E-1,1.516986426E1,2.142988749E0,5.316518267E0,1.621673669E1
3.281916666E-1,1.838254440E1,1.820092637E0,6.942408500E0,1.973392286E1
3.381376667E-1,2.135909057E1,1.661435457E0,7.923982345E0,2.284207990E1
3.480846665E-1,2.308826895E1,1.259244084E0,8.023228306E0,2.447500871E1
3.580306666E-1,2.439417206E1,6.696628976E-1,7.448911276E0,2.551490462E1
3.679776667E-1,2.486318424E1,1.592424864E-1,6.041591134E0,2.558718649E1
3.779236665E-1,2.457442768E1,-7.572044867E-1,4.458332950E0,2.498704839E1
3.878696666E-1,2.391997924E1,-2.024232384E0,3.672746664E0,2.428480990E1
3.978166666E-1,2.316948443E1,-3.204858314E0,4.057296987E0,2.373937203E1
4.077626667E-1,2.208572172E1,-3.919102723E0,5.731929610E0,2.315153315E1
4.177096665E-1,2.026364980E1,-4.490260502E0,8.093849223E0,2.227752989E1
4.276556666E-1,1.674970358E1,-5.059303928E0,1.024314887E1,2.027489149E1
4.376016667E-1,1.178100284E1,-5.211708096E0,1.214037038E1,1.770148361E1
4.475486665E-1,7.233285259E0,-5.149995997E0,1.333936066E1,1.602440068E1
4.574946666E-1,3.676818372E0,-4.970666571E0,1.389106300E1,1.520487260E1
4.674416666E-1,4.592126162E-1,-4.389170330E0,1.471197465E1,1.535961883E1
4.773876665E-1,-3.336362779E0,-3.694469070E0,1.573863228E1,1.650711860E1
4.873336665E-1,-7.428358898E0,-2.572958490E0,1.696716504E1,1.869987488E1
4.972806666E-1,-1.128712713E1,-1.462898512E0,1.842852339E1,2.165986577E1
5.072266667E-1,-1.401605074E1,-6.333487648E-1,2.038226642E1,2.474444571E1
