"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.791541629E-3,-2.106670852E-1,-8.500272810E-2,-7.753445962E-1,8.079389379E-1
1.273854170E-2,2.043354643E-1,2.164171457E-2,-7.042231581E-1,7.335881693E-1
2.268454176E-2,3.209294012E-1,1.583578026E-1,-5.853539416E-1,6.860846239E-1
3.263154184E-2,6.092818444E-1,5.624074209E-1,4.015838474E-2,8.301440651E-1
4.257754167E-2,7.095581576E-1,8.184610873E-1,8.015401223E-1,1.347522875E0
5.252454174E-2,5.097649018E-1,7.136392218E-1,1.303029204E0,1.570677020E0
6.247054180E-2,2.939524678E-1,6.511769253E-1,1.510128519E0,1.670606951E0
7.241754164E-2,-6.568042126E-2,6.305596429E-1,1.196957204E0,1.354483639E0
8.236354170E-2,-5.594421516E-1,5.261535144E-1,5.236471054E-1,9.295264024E-1
9.231054178E-2,-8.608229953E-1,6.513692987E-1,1.165209746E-1,1.085760254E0
1.022565418E-1,-7.555296980E-1,1.201675322E0,8.070180863E-2,1.421745929E0
1.122035417E-1,-4.526828112E-1,1.888889222E0,1.368768865E-1,1.947192724E0
1.221495417E-1,-3.225256545E-1,2.790416440E0,3.007974377E-1,2.825053239E0
1.320965418E-1,-6.763053346E-1,3.976003148E0,2.615854248E-1,4.041585935E0
1.420425416E-1,-1.433266431E0,5.631007837E0,-4.603980660E-2,5.810733309E0
1.519895417E-1,-1.884714895E0,8.390538699E0,1.307975364E-1,8.600604507E0
1.619365418E-1,-1.640599927E0,1.257574587E1,1.654899732E0,1.278982585E1
1.718825416E-1,-8.710643935E-1,1.773764563E1,4.091414906E0,1.822422842E1
1.818295417E-1,-2.129502402E-1,2.308977987E1,6.227197546E0,2.391571181E1
1.917755418E-1,-3.633755091E-1,2.930126068E1,7.553257763E0,3.026132222E1
2.017225418E-1,-1.914366125E0,3.495751797E1,8.704199134E0,3.607569740E1
2.116685417E-1,-3.298353246E0,3.731567665E1,1.012071402E1,3.880422284E1
2.216155417E-1,-3.239317126E0,3.496960065E1,1.123598972E1,3.687293873E1
2.315615418E-1,-2.415016132E0,2.963949404E1,1.106407807E1,3.172925674E1
2.415085416E-1,-2.246349834E0,2.342506155E1,9.417384612E0,2.534692741E1
2.514545417E-1,-1.687119059E0,1.717340335E1,8.078001514E0,1.905324806E1
2.614015418E-1,8.150205857E-1,1.078102839E1,6.305269570E0,1.251603995E1
2.713475418E-1,2.451343128E0,4.022235328E0,3.915152344E0,6.125020657E0
2.812945417E-1,3.086032075E0,-1.980777631E0,2.091436334E0,4.221513938E0
