"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.310250076E-3,-2.111811103E0,1.694340078E0,1.324394345E-4,2.707495975E0
1.725624991E-2,-1.369624897E0,1.814249514E0,1.346960505E0,2.642286181E0
2.720324998E-2,-6.969425706E-1,1.784607055E0,2.276836193E0,2.975656959E0
3.714925004E-2,-6.262077065E-1,1.604168411E0,1.901846652E0,2.565640870E0
4.709525011E-2,-1.189576483E0,1.487829285E0,8.184482235E-1,2.073303086E0
5.704224994E-2,-1.242161151E0,1.556336433E0,2.010252276E-1,2.001389158E0
6.698825001E-2,-7.200474047E-1,1.783971462E0,1.613971853E-1,1.930562481E0
7.693525008E-2,-4.873931532E-2,1.950629972E0,7.274690562E-1,2.082437043E0
8.688124991E-2,5.653211981E-1,1.814057141E0,1.370690845E0,2.342900928E0
9.682724997E-2,8.510710090E-1,1.422181426E0,1.428552552E0,2.188077755E0
1.067742500E-1,7.824146839E-1,1.004519489E0,1.030550709E0,1.638068041E0
1.167202501E-1,7.483519484E-1,8.250590855E-1,7.258213109E-1,1.329499796E0
1.266672499E-1,9.617903763E-1,7.851670414E-1,7.400353074E-1,1.445399691E0
1.366132500E-1,9.143591516E-1,6.348017979E-1,6.912277213E-1,1.310275446E0
1.465592501E-1,8.099308768E-1,5.116816556E-1,5.467810294E-1,1.103075535E0
1.565062499E-1,9.049455730E-1,6.279447681E-1,5.476066563E-1,1.230087059E0
1.664522500E-1,1.432719132E0,7.018541586E-1,8.120613098E-1,1.790175115E0
1.763992500E-1,1.768927453E0,6.260537785E-1,1.110719251E0,2.180537760E0
1.863452501E-1,1.815728129E0,3.642055213E-1,1.351733879E0,2.292749175E0
1.962912499E-1,1.584313606E0,-2.492083311E-2,9.975598410E-1,1.872377175E0
2.062382500E-1,1.291010398E0,-2.039847958E-1,4.404391801E-1,1.379240486E0
2.161842501E-1,1.146270542E0,-2.645829999E-1,1.502064916E-1,1.185960501E0
2.261312499E-1,1.092897450E0,-2.954557139E-1,-7.709524602E-2,1.134752216E0
2.360772500E-1,1.400683699E0,-9.840045333E-2,-2.521719924E-1,1.426600220E0
2.460242501E-1,1.592233952E0,1.225634873E-2,-1.893445373E-1,1.603499464E0
2.559702501E-1,1.625696398E0,2.592304587E-2,2.502608299E-4,1.625903086E0
2.659162499E-1,1.431057791E0,9.107623100E-2,-3.989350587E-2,1.434507851E0
2.758632500E-1,1.407870073E0,5.413603681E-1,-1.580838606E-1,1.516627739E0
2.858092501E-1,1.494293528E0,1.109064782E0,-1.374016741E-1,1.865962770E0
2.957562499E-1,1.579962400E0,1.351950518E0,-4.964286089E-2,2.080027838E0
3.057022500E-1,1.480746407E0,1.308807423E0,2.252645677E-1,1.989052768E0
