"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.242583411E-3,1.491622520E-1,1.761766076E-2,1.485806733E-2,1.509321754E-1
1.418958325E-2,7.528063573E-2,5.921007514E-2,3.545628780E-1,3.672708014E-1
2.413558331E-2,4.018060416E-3,1.442607504E-1,4.695776099E-1,4.912539472E-1
3.408158338E-2,1.541761664E-1,3.496500474E-1,6.132779047E-1,7.225892570E-1
4.402858322E-2,1.562610642E-1,5.078938293E-1,8.067084762E-1,9.659980475E-1
5.397458328E-2,4.014932156E-2,5.020922220E-1,7.709349185E-1,9.208958768E-1
6.392158335E-2,-4.475319989E-2,4.796810138E-1,6.279234257E-1,7.914445985E-1
7.386758341E-2,5.028313100E-3,3.785399705E-1,6.402584195E-1,7.438068546E-1
8.381358325E-2,2.561153546E-3,3.577858633E-1,7.246527448E-1,8.081700836E-1
9.376058332E-2,1.112694441E-1,3.230686051E-1,6.409983847E-1,7.263836052E-1
1.037065834E-1,3.840816692E-3,2.048466754E-1,3.057111454E-1,3.680165984E-1
1.136525832E-1,-1.117342977E-1,5.225948989E-2,1.603862017E-2,1.243898907E-1
1.235995833E-1,-1.240780623E-1,-7.460579395E-2,-3.491275987E-1,3.779569687E-1
1.335455833E-1,-2.395187639E-1,-1.692201751E-1,-3.783008194E-1,4.786608568E-1
1.434925834E-1,-2.173168129E-1,-3.101339793E-1,1.497919241E-1,4.072435424E-1
1.534385832E-1,3.231937355E-1,-2.644853514E-1,3.226674861E-1,5.277508866E-1
1.633845833E-1,3.573395745E-1,-9.907346785E-2,-2.003004652E-1,4.214586574E-1
1.733315834E-1,-1.314008959E-1,-1.698990369E-1,-4.128865153E-1,4.654107354E-1
1.832775832E-1,-3.906928966E-1,-5.365948874E-1,3.855829418E-2,6.648772478E-1
1.932235833E-1,-3.657198040E-1,-6.260835993E-1,4.862392509E-1,8.730179022E-1
2.031705834E-1,-6.078100272E-2,-3.325007486E-1,5.602229011E-1,6.542941059E-1
2.131165834E-1,9.895067632E-2,-1.475726134E-1,5.046769837E-1,5.350399708E-1
2.230625832E-1,2.744317576E-2,-1.960705894E-1,3.134052041E-1,3.707015321E-1
2.330095833E-1,1.239967860E-2,-8.697207034E-2,8.921009213E-2,1.252051660E-1
2.429555834E-1,5.314388126E-2,3.215617776E-2,2.359643877E-3,6.215995337E-2
2.529025832E-1,1.065415317E-1,-3.361564279E-3,-8.331054389E-2,1.352887461E-1
2.628485833E-1,8.780734509E-2,-2.037579238E-2,-1.398925880E-1,1.664188659E-1
2.727945833E-1,7.261138178E-2,-5.520648658E-2,2.619874209E-2,9.490280824E-2
2.827415834E-1,4.264418229E-2,-2.138853014E-1,4.916982114E-1,5.378964394E-1
2.926875832E-1,-1.001427774E-1,-4.830513489E-1,8.412848166E-1,9.752575681E-1
3.026335833E-1,-3.829490635E-1,-5.873370248E-1,6.691237843E-1,9.691962674E-1
3.125805834E-1,-4.392482485E-1,-5.196391314E-1,1.229739618E-1,6.914379553E-1
3.225265832E-1,-3.100025631E-1,-3.996829176E-1,-1.708430699E-1,5.338870464E-1
3.324725833E-1,-1.589336072E-1,-3.956834221E-1,-1.882858989E-1,4.661296405E-1
3.424195834E-1,4.475005701E-2,-3.573835748E-1,-1.907066461E-1,4.075470673E-1
3.523655834E-1,1.572489513E-1,-2.813592464E-1,-1.827246121E-1,3.705111902E-1
3.623125833E-1,-3.819540136E-2,-3.739481521E-1,-9.183841556E-2,3.869501308E-1
