"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.652999997E-3,2.946767917E-1,2.585054040E-3,3.451362893E-1,4.538283290E-1
1.860000007E-2,5.642346027E-1,2.143209189E-1,4.454844502E-1,7.501670071E-1
2.854700014E-2,4.738785294E-1,2.764534324E-1,3.948354296E-1,6.759307490E-1
3.849300020E-2,2.529203629E-1,1.700510645E-1,3.510766219E-1,4.649095277E-1
4.844000004E-2,5.014520980E-2,-4.936745703E-2,2.105073649E-1,2.219572899E-1
5.838700011E-2,5.384554714E-4,-1.776933753E-1,1.434513496E-1,2.283714415E-1
6.833400019E-2,5.018460542E-2,-2.616266477E-1,2.004869914E-1,3.334097046E-1
7.828000002E-2,6.498339660E-2,-2.860738564E-1,2.206397125E-1,3.670735292E-1
8.822700009E-2,-4.986030422E-2,-3.468808061E-1,-1.885200799E-2,3.509526204E-1
9.817400016E-2,1.517323226E-2,-3.294344687E-1,-2.272017503E-1,4.004721357E-1
1.081210000E-1,1.730131909E-1,-1.490905505E-1,-3.507276893E-2,2.310663446E-1
1.180670001E-1,1.762801033E-1,-1.916910249E-1,1.061485988E-1,2.812252636E-1
1.280140001E-1,2.378515765E-2,-2.725083160E-1,1.254043570E-1,3.009198711E-1
1.379610002E-1,-5.757994451E-2,-1.746791357E-1,1.947402017E-1,2.678656316E-1
1.479080000E-1,-1.182700230E-1,-2.056565148E-1,2.299568121E-1,3.303975421E-1
1.578540001E-1,-2.548735522E-1,-2.644286335E-1,1.733021164E-1,4.060993146E-1
1.678010002E-1,-2.197225767E-1,-6.862292290E-2,1.971879923E-1,3.031010072E-1
1.777480000E-1,-2.092919480E-1,-1.064836442E-2,2.323480310E-1,3.128931362E-1
1.876950001E-1,-2.475784928E-1,-1.095417380E-1,2.364875673E-1,3.594730476E-1
1.976410002E-1,-2.289927524E-1,-7.064430535E-2,2.949312186E-1,3.800167395E-1
2.075880002E-1,-1.099671230E-1,-3.291339219E-2,2.158436801E-1,2.444678992E-1
2.175350001E-1,-2.379129723E-2,7.157576680E-3,2.963222712E-2,3.866944028E-2
2.274820001E-1,-1.220774375E-2,2.039567292E-2,-1.299377033E-1,1.320939788E-1
2.374280002E-1,4.190458260E-2,1.682594776E-2,-6.282555476E-2,7.737025845E-2
2.473750000E-1,-6.375496969E-2,-6.495964229E-2,1.144949144E-1,1.462652957E-1
2.573220001E-1,-1.830530794E-1,-1.298748457E-1,1.951163238E-1,2.973992018E-1
2.672690002E-1,-3.134207723E-1,-2.448884082E-1,1.006035380E-1,4.102730613E-1
2.772150000E-1,-3.779972758E-1,-2.922473466E-1,-8.205719322E-2,4.847925691E-1
2.871620001E-1,-1.787374688E-1,-1.049861723E-1,-2.499768014E-1,3.247423292E-1
2.971090002E-1,-3.145626605E-2,7.098110497E-2,-2.292745882E-1,2.420633197E-1
3.070550002E-1,-8.083534442E-2,7.155296266E-2,-1.482257473E-1,1.833713488E-1
3.170020001E-1,-1.581786586E-1,-5.168938637E-4,-2.160055017E-1,2.677295874E-1
3.269490001E-1,-9.944038063E-2,3.236667752E-2,-1.022213164E-1,1.462367554E-1
3.368960002E-1,-1.685845097E-1,6.366974652E-2,1.138853422E-1,2.131770267E-1
3.468420000E-1,-1.752423687E-1,-7.587931752E-3,6.499852628E-2,1.870622167E-1
3.567890001E-1,-6.016382910E-2,-2.420922697E-2,-1.063533975E-1,1.245665210E-1
3.667360002E-1,-4.978334025E-2,6.824285388E-2,-3.307519926E-1,3.413683475E-1
