"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.537333131E-3,4.339627310E-1,3.331369257E-1,-6.585426629E-2,5.510359766E-1
1.648433320E-2,6.256829189E-1,3.205010927E-1,1.347198486E-1,7.157859338E-1
2.643033327E-2,5.597632369E-1,3.446734822E-1,1.341696256E-1,6.709218875E-1
3.637633333E-2,4.130994635E-1,3.605317158E-1,-1.703405017E-1,5.741516972E-1
4.632333317E-2,2.066192223E-1,2.521541584E-1,-6.488643515E-1,7.261529930E-1
5.626933323E-2,-7.832874357E-2,4.230635941E-2,-1.189777115E0,1.193103015E0
6.621633330E-2,-3.498419092E-1,-4.776765883E-2,-1.406230221E0,1.449880873E0
7.616233313E-2,-4.624649106E-1,3.130014539E-2,-9.607261831E-1,1.066699719E0
8.610933321E-2,-4.626678821E-1,1.378954715E-1,-2.304329216E-1,5.349542612E-1
9.605533327E-2,-2.529715260E-1,2.545667195E-1,4.218941510E-1,5.538894134E-1
1.060023333E-1,8.140172035E-2,4.544321519E-1,9.114467266E-1,1.021699543E0
1.159483332E-1,1.078531627E-1,4.908527040E-1,1.006529177E0,1.125019852E0
1.258953332E-1,-9.265268602E-2,3.487437290E-1,7.938343692E-1,8.719975427E-1
1.358413333E-1,-3.262864740E-1,1.646932608E-1,3.348814425E-1,4.957139435E-1
1.457873331E-1,-2.417779087E-1,1.572053164E-1,-3.118092066E-1,4.247293844E-1
1.557343332E-1,-2.598455493E-1,2.837624520E-1,-7.861464500E-1,8.752525804E-1
1.656803333E-1,-6.011552379E-1,3.179978997E-1,-9.550298256E-1,1.172430063E0
1.756273331E-1,-9.513941731E-1,4.971811455E-1,-8.319038361E-1,1.358088346E0
1.855733332E-1,-9.144110457E-1,1.151456510E0,-3.497973973E-1,1.511409235E0
1.955203332E-1,-7.125489353E-1,2.129519688E0,1.457281092E-1,2.250292596E0
2.054663333E-1,-3.964722115E-1,3.506304501E0,4.357014737E-1,3.555446138E0
2.154133331E-1,5.201648327E-2,5.662969887E0,8.214522305E-1,5.722474764E0
2.253593332E-1,3.995322787E-1,8.248192912E0,1.774043475E0,8.446273889E0
2.353053333E-1,6.067609636E-1,1.108718510E1,3.360084933E0,1.160103456E1
2.452523331E-1,4.805467672E-1,1.443586094E1,5.114563040E0,1.532265517E1
2.551983332E-1,2.279838519E-2,1.843898874E1,6.446821305E0,1.953351813E1
2.651453333E-1,-1.965763297E0,2.229203254E1,5.772145590E0,2.311096287E1
2.750913333E-1,-6.610569071E0,2.586702019E1,2.577252100E0,2.682246419E1
2.850383332E-1,-8.737774431E0,2.824150430E1,2.656130455E0,2.968141331E1
2.949843332E-1,-7.379946876E0,2.874930925E1,7.629224789E0,3.064623092E1
3.049313333E-1,-5.746344751E0,2.815219393E1,1.197053917E1,3.112652099E1
3.148773331E-1,-3.785371054E0,2.543805676E1,1.336671627E1,2.898435560E1
3.248243332E-1,-1.791145411E0,2.079217729E1,1.265318054E1,2.440544644E1
3.347703333E-1,2.714049464E-1,1.562798425E1,1.047588910E1,1.881626437E1
3.447163333E-1,2.195371615E0,1.090539282E1,7.801628773E0,1.358722417E1
3.546633332E-1,2.173097671E0,5.399327704E0,5.036095744E0,7.696580636E0
3.646093332E-1,3.344515844E0,1.759414911E0,3.655327224E0,5.257636748E0
3.745563333E-1,4.431166202E0,-1.606169913E0,3.242705002E0,5.721027131E0
3.845023331E-1,4.461347483E0,-6.550862567E0,2.233411261E0,8.234412402E0
3.944493332E-1,4.370978765E0,-1.057748682E1,1.871570939E-1,1.144655889E1
4.043953333E-1,3.903382191E0,-1.342024870E1,-7.198588320E-1,1.399491566E1
4.143423333E-1,2.976733581E0,-1.503497835E1,-6.394966004E-1,1.534015882E1
4.242883332E-1,1.651829359E0,-1.629006916E1,-4.519839958E-1,1.637984075E1
4.342343332E-1,4.497450238E-1,-1.773682000E1,-3.794972328E-1,1.774657918E1
4.441813333E-1,-7.998532737E-1,-1.886963383E1,3.364014262E-1,1.888957416E1
4.541273331E-1,-1.420875889E0,-1.919517172E1,4.439095026E-1,1.925280658E1
4.640743332E-1,-1.669956897E0,-1.855102841E1,7.437512860E-1,1.864088455E1
4.740203333E-1,-7.989754605E-1,-1.719498191E1,6.781999055E-1,1.722688944E1
4.839673333E-1,2.548486284E-1,-1.594959515E1,5.171681712E-1,1.596001241E1
4.939133332E-1,3.291098752E-1,-1.530127692E1,-1.568579918E-1,1.530561966E1
5.038603332E-1,-5.517092820E-2,-1.501372723E1,-1.114004509E0,1.505510064E1
5.138063333E-1,-4.509305468E-1,-1.449672578E1,-1.739478244E0,1.460767542E1
5.237533331E-1,-7.699013501E-1,-1.328968037E1,-1.504999634E0,1.339676739E1
5.336993332E-1,-8.249750318E-1,-1.179214530E1,-2.858043363E-1,1.182442212E1
5.436463333E-1,-1.833594187E-1,-1.018660864E1,1.666248885E0,1.032361378E1
5.535923333E-1,8.321173326E-1,-8.235489836E0,2.856078333E0,8.756306044E0
5.635383332E-1,1.476251067E0,-6.415214766E0,2.860401764E0,7.177478384E0
5.734853332E-1,1.630491407E0,-4.925222595E0,2.094535212E0,5.594943931E0
5.834313333E-1,1.167237999E0,-4.026725990E0,8.910087345E-1,4.286124509E0
5.933783331E-1,6.591384941E-1,-3.498067528E0,-2.322256049E-1,3.567193395E0
6.033243332E-1,2.035358576E-1,-3.195014527E0,-6.904409053E-1,3.275095925E0
6.132713333E-1,-2.941285604E-1,-3.099423076E0,-9.225432801E-1,3.247155850E0
6.232173333E-1,-4.078118630E-1,-2.979670930E0,-1.330267289E0,3.288519488E0
6.331643332E-1,-5.590025872E-2,-2.605366098E0,-1.741644638E0,3.134387242E0
6.431103332E-1,9.424286373E-2,-2.015118329E0,-1.810569862E0,2.710672762E0
6.530563333E-1,1.053517695E-1,-1.409620437E0,-1.499491557E0,2.060728925E0
6.630033331E-1,4.421232513E-1,-7.768885535E-1,-8.054996375E-1,1.203269903E0
6.729493332E-1,1.078146021E0,-2.910919368E-2,-4.393656313E-2,1.079433467E0
6.828963333E-1,1.353912844E0,5.202624446E-1,4.158902299E-1,1.508879612E0
6.928423331E-1,9.552179597E-1,4.305076844E-1,3.125120054E-1,1.093362689E0
7.027893332E-1,3.887809667E-1,-2.227672219E-1,-3.188949722E-1,5.499726162E-1
7.127353332E-1,8.282686953E-2,-8.660825658E-1,-1.355315591E0,1.610540174E0
7.226823333E-1,4.445564970E-2,-9.536989993E-1,-1.738805230E0,1.983673792E0
7.326283331E-1,1.726625772E-1,-4.687122220E-1,-1.529195997E0,1.608708771E0
7.425753332E-1,3.700693650E-1,-5.516497135E-2,-1.261224536E0,1.315553814E0
7.525213333E-1,7.356323540E-1,1.684617913E-1,-9.982179451E-1,1.251388589E0
7.624683331E-1,9.522303249E-1,3.768238127E-1,-8.345431962E-1,1.321060606E0
7.724143332E-1,6.637247577E-1,3.847900593E-1,-8.847305059E-1,1.171043130E0
7.823603333E-1,2.962935833E-1,9.374548495E-2,-8.678759068E-1,9.218387566E-1
7.923073333E-1,-3.895809755E-2,-4.691607034E-1,-9.976583666E-1,1.103155345E0
8.022533332E-1,-4.095192865E-1,-1.166646407E0,-1.388948776E0,1.859556019E0
8.122003332E-1,-7.048390161E-1,-1.470748399E0,-1.615968677E0,2.295921091E0
8.221463333E-1,-1.100686306E0,-1.260797104E0,-1.432172563E0,2.202779593E0
8.320933331E-1,-1.296076865E0,-1.020387663E0,-1.080376003E0,1.971856620E0
8.420393332E-1,-9.048367417E-1,-7.931964380E-1,-8.871839976E-1,1.494986811E0
8.519863333E-1,-4.370363199E-1,-3.732961875E-1,-8.731524342E-1,1.045344901E0
8.619323333E-1,-3.203569223E-1,1.823945367E-1,-9.795062703E-1,1.046579600E0
8.718783332E-1,-3.675666105E-1,5.629406869E-1,-8.557774329E-1,1.088284175E0
8.818253332E-1,-4.476625380E-1,5.750654733E-1,-7.349903297E-1,1.035042430E0
8.917713333E-1,-5.648268160E-1,3.199432683E-1,-7.371217860E-1,9.822125811E-1
9.017183331E-1,-8.102441414E-1,1.923149228E-2,-5.621069471E-1,9.863212655E-1
9.116643332E-1,-1.030264049E0,-1.626666158E-1,-3.434077062E-1,1.098104408E0
9.216113333E-1,-9.934527567E-1,-1.296941668E-1,-7.111032844E-2,1.004403124E0
