"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.864416689E-3,-6.618261668E-1,-8.222003818E-2,-8.091207451E-1,1.048546799E0
1.281041675E-2,-3.507287856E-3,1.406881016E-1,2.589416063E-1,2.947137569E-1
2.275641658E-2,3.924995401E-1,1.549991620E-1,1.020954258E0,1.104729934E0
3.270341665E-2,4.818000448E-1,-1.201310456E-2,1.623464808E0,1.693491535E0
4.264941672E-2,3.162940941E-1,-2.313386554E-1,2.186365734E0,2.221205675E0
5.259641656E-2,1.441846452E-1,-4.506618673E-1,2.491695641E0,2.536224063E0
6.254241662E-2,2.370147486E-1,-5.525086695E-1,2.040477118E0,2.127202081E0
7.248941669E-2,4.935809052E-1,-1.859163147E-1,1.295815494E0,1.399044238E0
8.243541676E-2,1.331937253E0,3.636050123E-1,6.604954867E-1,1.530529235E0
9.238241659E-2,2.541555726E0,7.445832717E-1,4.190417330E-1,2.681325368E0
1.023284167E-1,3.758236172E0,1.102039937E0,5.246794313E-1,3.951470569E0
1.122744167E-1,4.682221084E0,1.282848124E0,8.886376154E-1,4.935440243E0
1.222214166E-1,5.666842498E0,1.402861640E0,1.734889788E0,6.090235402E0
1.321674166E-1,6.850951030E0,1.285800968E0,2.582984710E0,7.433748998E0
1.421144167E-1,7.656592097E0,1.266279454E0,3.360931610E0,8.457111060E0
1.520604168E-1,8.936109062E0,1.597532406E0,4.491839250E0,1.012831550E1
1.620074166E-1,1.068472358E1,1.672590775E0,5.582830873E0,1.217082078E1
1.719534167E-1,1.213276315E1,1.941641632E0,6.048266315E0,1.369508814E1
1.818994167E-1,1.353271171E1,2.278531301E0,5.863169196E0,1.492322834E1
1.918462918E-1,1.532842672E1,2.489429845E0,4.983332224E0,1.630924666E1
2.017922916E-1,1.728246795E1,2.692173861E0,3.689199559E0,1.787572913E1
2.117392917E-1,1.916718928E1,2.675979413E0,2.683821698E0,1.953829342E1
2.216852917E-1,2.077498414E1,2.195201461E0,2.432345232E0,2.103176594E1
2.316322916E-1,2.156079145E1,1.442983480E0,3.177051880E0,2.184132752E1
2.415782916E-1,2.157420964E1,3.257325965E-1,4.647130188E0,2.207143951E1
2.515252917E-1,2.075508957E1,-1.274125832E0,6.033704994E0,2.165185294E1
2.614712918E-1,1.964106635E1,-2.748695971E0,7.208461490E0,2.110186565E1
2.714172916E-1,1.828228336E1,-3.528808095E0,8.376998302E0,2.041735712E1
2.813642917E-1,1.807093575E1,-3.231356726E0,1.019633489E1,2.099918166E1
2.913102917E-1,1.912563897E1,-2.376012572E0,1.238853089E1,2.291094060E1
3.012572916E-1,1.945917701E1,-1.520261452E0,1.499315673E1,2.461230411E1
3.112032916E-1,1.853896326E1,-1.369097478E0,1.741968456E1,2.547573349E1
3.211502917E-1,1.671269655E1,-1.948836046E0,1.982344100E1,2.600155767E1
3.310962918E-1,1.460983900E1,-2.746928943E0,2.180333629E1,2.638898421E1
3.410422916E-1,1.248889133E1,-2.647618078E0,2.274210910E1,2.608037221E1
