"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.988125060E-3,-4.489944241E-1,-7.875380874E-2,-1.946000147E-1,4.956483844E-1
1.493412489E-2,9.381930605E-3,-7.348137438E-2,-3.216249275E-1,3.300456438E-1
2.488012495E-2,2.001988699E-1,1.061333960E-1,-2.184601629E-1,3.147518515E-1
3.482612502E-2,7.751449138E-2,1.133757573E-1,-4.654619375E-2,1.450141610E-1
4.477312509E-2,3.444700722E-2,6.200738311E-2,3.500728011E-2,7.910133707E-2
5.471912492E-2,2.393620950E-1,1.619813222E-1,9.918747028E-2,3.055655667E-1
6.466512498E-2,4.477023721E-1,1.915185320E-1,1.646996745E-1,5.140454697E-1
7.461112505E-2,4.185835671E-1,1.389011925E-1,1.881236204E-1,4.794749633E-1
8.455812489E-2,2.784944396E-1,1.008948755E-1,2.147834337E-1,3.658836594E-1
9.450412495E-2,2.320030818E-1,6.029064059E-2,2.575254107E-1,3.518234336E-1
1.044501250E-1,2.394579894E-1,2.037286878E-2,2.623435163E-1,3.557798519E-1
1.143971251E-1,2.490337917E-1,3.621414542E-2,2.706290027E-1,3.695529067E-1
1.243431249E-1,3.133624829E-1,-5.579296231E-2,2.476272440E-1,4.032718095E-1
1.342891250E-1,1.247498343E-1,-1.618480057E-1,2.663558575E-1,3.357122889E-1
1.442351250E-1,-1.408820830E-1,-1.612568521E-1,3.396589100E-1,4.015217414E-1
1.541821251E-1,-2.277409001E-1,-1.243539047E-1,2.918602610E-1,3.905281336E-1
1.641281249E-1,-1.527623096E-1,-1.404606450E-1,1.374469900E-1,2.489120147E-1
1.740741250E-1,-1.307942108E-1,-1.022642934E-1,-8.987286489E-2,1.887915335E-1
1.840201251E-1,-2.151149708E-1,-1.438379967E-1,-2.263971917E-1,3.438306391E-1
1.939671249E-1,-4.026234093E-1,-2.122322935E-1,-1.783108413E-1,4.888178722E-1
2.039131250E-1,-4.077058822E-1,-1.827471238E-1,6.128583670E-2,4.509728943E-1
2.138591250E-1,-3.403450808E-1,-1.864519197E-1,3.420235240E-1,5.172805654E-1
2.238051251E-1,-2.305806735E-1,-1.620421332E-1,5.020243943E-1,5.757200642E-1
2.337521249E-1,-1.633540291E-2,-5.959482193E-2,5.098432910E-1,5.135743078E-1
2.436981250E-1,1.782408575E-1,4.434411407E-2,3.933690941E-1,4.341375910E-1
2.536441251E-1,2.126471169E-1,1.053329122E-1,2.919093776E-1,3.761979578E-1
2.635901249E-1,1.932407198E-1,1.951835668E-1,1.874044311E-1,3.325041674E-1
2.735371250E-1,1.563008253E-1,2.226871151E-1,1.332627134E-1,3.029495832E-1
2.834831250E-1,1.774153402E-1,1.545787472E-1,9.075111668E-2,2.522034044E-1
2.934291251E-1,2.532810630E-1,1.866419542E-1,3.724207680E-2,3.168177524E-1
3.033761249E-1,2.192239554E-1,1.187347305E-1,1.060392467E-1,2.709269287E-1
3.133221250E-1,1.088023576E-1,-5.781726837E-3,2.278309107E-1,2.525436700E-1
3.232681251E-1,-2.703354176E-2,-7.935373306E-2,2.239998150E-1,2.391730429E-1
3.332141249E-1,-9.021405905E-2,-9.252283216E-2,1.038757678E-1,1.657987517E-1
3.431611250E-1,-4.547489248E-2,-6.464096904E-3,-5.241093278E-2,6.968971423E-2
3.531071250E-1,7.702891666E-2,1.279686534E-1,-1.225985706E-1,1.932351929E-1
3.630531251E-1,2.826861258E-1,1.638465840E-1,-1.740646116E-1,3.702102616E-1
3.729991249E-1,4.642294541E-1,1.956647927E-1,-1.978545932E-1,5.412394453E-1
3.829461250E-1,5.074972054E-1,2.108353937E-1,-8.926827192E-2,5.567529085E-1
3.928921251E-1,3.003627338E-1,9.177789688E-2,1.877307240E-1,3.659013241E-1
4.028381249E-1,5.738490332E-2,-4.561412930E-3,3.615719354E-1,3.661257955E-1
4.127841250E-1,-1.044073711E-1,-1.101352304E-1,3.545856822E-1,3.856963496E-1
4.227311250E-1,-1.921335129E-1,-1.399244553E-1,3.015409112E-1,3.839545040E-1
4.326771251E-1,-2.090704847E-1,-5.450599015E-2,2.388388789E-1,3.220642492E-1
4.426231249E-1,-1.803379979E-2,5.083101511E-2,1.426428076E-1,1.524991167E-1
4.525701250E-1,5.367473535E-2,-2.015710652E-2,5.887676558E-2,8.218126114E-2
