"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.930001356E-4,-5.181946864E-1,-8.827833831E-2,-7.403159738E-2,5.308478836E-1
1.023899997E-2,-4.419946857E-1,9.756722510E-2,-4.151552349E-1,6.141925876E-1
2.018600004E-2,-9.238151226E-2,2.566383880E-1,-6.022081753E-1,6.610993060E-1
3.013300011E-2,1.550267535E-1,2.965193224E-1,-5.328223369E-1,6.291713960E-1
4.007900017E-2,4.834916443E-2,2.015055764E-1,-2.854419185E-1,3.527310985E-1
5.002600001E-2,-1.356096852E-1,1.120262200E-1,2.136989214E-2,1.771906684E-1
5.997200008E-2,-1.420702372E-1,6.843288839E-2,2.464934689E-1,2.926192795E-1
6.991900015E-2,-1.082098519E-1,4.345065951E-3,4.108961231E-1,4.249280828E-1
7.986599999E-2,-2.487873316E-2,6.060580552E-2,4.298083574E-1,4.347726292E-1
8.981200005E-2,-2.333188880E-2,1.183353657E-1,2.511379854E-1,2.785999345E-1
9.975900012E-2,-9.538095117E-2,7.190496504E-2,5.436141774E-2,1.312364796E-1
1.097050002E-1,-2.866391725E-1,-4.583047628E-2,8.586124554E-3,2.904069030E-1
1.196520000E-1,-5.647165594E-1,-1.147796738E-1,-9.031024575E-3,5.763338663E-1
1.295980001E-1,-5.404112919E-1,-4.256714523E-2,-1.014567930E-1,5.514977853E-1
1.395450002E-1,-3.680491155E-1,7.393687248E-2,-2.869568590E-1,4.725156626E-1
1.494920000E-1,-2.319905103E-1,6.787506402E-2,-1.186114273E-1,2.692494974E-1
1.594380001E-1,-2.208196606E-1,2.802278101E-2,1.693523953E-1,2.796906015E-1
1.693850001E-1,-2.659839928E-1,-2.862445951E-2,3.262851584E-1,4.219346498E-1
1.793310002E-1,-3.989574974E-1,-1.724934465E-1,4.123905983E-1,5.991553049E-1
1.892780000E-1,-4.264877236E-1,-2.320911920E-1,3.299759209E-1,5.870623546E-1
1.992240001E-1,-3.067717207E-1,-1.319108462E-1,1.501020458E-1,3.661147144E-1
2.091710002E-1,-1.749512870E-1,-6.115368962E-2,2.050267696E-2,1.864620239E-1
2.191180000E-1,-1.994373066E-1,-7.307148457E-2,5.272609770E-2,2.188486292E-1
2.290640001E-1,-2.360541424E-1,-9.169194281E-2,9.787873551E-2,2.714944150E-1
2.390110001E-1,-2.253733990E-1,-1.106983173E-1,1.078723580E-1,2.732832451E-1
2.489570000E-1,-1.626890911E-1,-7.995482683E-2,8.984780408E-2,2.023194073E-1
2.589040000E-1,-1.206995777E-1,-9.780696094E-2,2.700119935E-2,1.576821310E-1
2.688500001E-1,-1.813395163E-1,-1.076852471E-1,-3.376489297E-2,2.135888588E-1
2.787970002E-1,-1.794767030E-1,-7.855266452E-2,-3.109907426E-2,1.983672363E-1
2.887440000E-1,-1.635441002E-1,-3.132236481E-2,-3.544530965E-2,1.702472708E-1
2.986900001E-1,-2.043526588E-1,-1.222845751E-1,-8.271939039E-2,2.521032011E-1
3.086370002E-1,-3.341809826E-1,-2.054834372E-1,-3.313500166E-2,3.936982352E-1
3.185830000E-1,-3.284974524E-1,-2.262059695E-1,1.631017218E-1,4.309082136E-1
3.285300001E-1,-1.589386504E-2,-1.608469623E-1,2.404983187E-1,2.897650799E-1
3.384770001E-1,8.788436754E-1,5.737287998E-2,3.764203548E-2,8.815184490E-1
3.484230002E-1,1.771896670E0,6.530638218E-2,2.794354393E-1,1.794983815E0
3.583700000E-1,2.958650774E0,6.729478633E-1,9.601191690E-1,3.182499340E0
3.683160001E-1,6.175081313E0,1.901414543E0,1.696505887E0,6.680204990E0
3.782630002E-1,1.156390625E1,2.352986822E0,2.766300768E0,1.212076296E1
3.882090000E-1,1.685344722E1,2.002435718E0,4.626195987E0,1.759119442E1
3.981560001E-1,2.070944386E1,2.322791800E0,7.228681161E0,2.205743091E1
4.081030001E-1,2.513827469E1,3.392808875E0,1.019160333E1,2.733702224E1
4.180490000E-1,3.176059725E1,3.718718643E0,1.217354631E1,3.421636503E1
4.279960000E-1,3.737701862E1,3.106402313E0,1.152416623E1,3.923643286E1
4.379420001E-1,3.949165948E1,2.687856862E0,7.373482779E0,4.026392916E1
4.478890002E-1,3.978040903E1,9.267515212E-1,2.601036819E0,3.987612322E1
4.578350000E-1,3.941293257E1,-1.862023020E0,2.190631278E0,3.951765743E1
4.677820001E-1,4.020640909E1,-3.154600911E0,9.929637541E0,4.153437782E1
4.777295834E-1,4.258946288E1,-3.774793441E0,2.288332170E1,4.849492578E1
4.876755835E-1,4.165862825E1,-6.038629519E0,3.273880368E1,5.332668770E1
4.976225835E-1,3.550179317E1,-7.485629452E0,3.349110879E1,4.937677930E1
5.075685834E-1,2.870589251E1,-5.575961564E0,2.821708165E1,4.063647757E1
5.175155834E-1,2.416861221E1,-2.623989480E0,2.609194621E1,3.566226007E1
5.274615835E-1,1.907359641E1,-5.395412993E-1,2.974315582E1,3.533763579E1
5.374085833E-1,1.180529451E1,9.977273637E-1,3.731007502E1,3.914590830E1
5.473555834E-1,3.614114878E0,2.719193845E0,4.571168893E1,4.593489247E1
5.573015835E-1,-7.398543946E0,3.725354063E0,4.963050221E1,5.031702958E1
5.672485833E-1,-1.959534931E1,2.686246539E0,5.378311057E1,5.730459508E1
5.771945834E-1,-2.988953969E1,-1.681290847E-1,6.375350204E1,7.041251219E1
5.871415834E-1,-3.749216199E1,-3.593331535E0,7.056991473E1,7.999179400E1
5.970885835E-1,-4.232522954E1,-5.261076137E0,6.457323021E1,7.738737648E1
6.070345833E-1,-4.300733298E1,-4.089976491E0,4.860019943E1,6.502567172E1
6.169815834E-1,-3.905627815E1,-2.233498385E0,3.125421200E1,5.007201959E1
6.269275835E-1,-3.217351826E1,-4.633766377E-1,1.631507887E1,3.607674866E1
6.368745833E-1,-2.484201732E1,5.170505691E-1,4.082538832E0,2.518055379E1
6.468205834E-1,-1.930360716E1,4.781046045E-1,-5.302816486E0,2.002442749E1
6.567675835E-1,-1.573979120E1,8.095411599E-2,-1.093105859E1,1.916339277E1
6.667145835E-1,-1.264657436E1,-1.880821234E-1,-1.165057602E1,1.719613734E1
6.766605834E-1,-1.070521456E1,-1.084291883E0,-7.850769943E0,1.331960572E1
6.866075834E-1,-1.028983772E1,-2.719475096E0,-2.902595272E0,1.103183414E1
6.965535835E-1,-1.124639659E1,-4.446666001E0,-2.279368915E-2,1.209358484E1
7.065005833E-1,-1.248519589E1,-5.498107642E0,8.216356138E-1,1.366690854E1
7.164465834E-1,-1.195391553E1,-5.557651008E0,1.354485286E0,1.325210216E1
7.263935835E-1,-9.829314523E0,-4.990401508E0,1.273626480E0,1.109692100E1
7.363405833E-1,-7.419412073E0,-3.416074947E0,-7.405257426E-2,8.168398089E0
7.462865834E-1,-5.353547514E0,-1.680834180E0,-1.633840692E0,5.844237327E0
7.562335834E-1,-3.726524091E0,-7.689386791E-1,-2.576438752E0,4.595245928E0
7.661795835E-1,-2.691916584E0,-3.170173216E-1,-2.494300575E0,3.683537734E0
7.761265833E-1,-1.799030235E0,-2.134391588E-1,-1.768186319E0,2.531511193E0
7.860735834E-1,-1.424407899E0,-1.307402337E-1,-1.172902270E0,1.849792044E0
7.960195835E-1,-1.558926019E0,-3.470252323E-1,-3.174511850E-1,1.628328007E0
8.059665833E-1,-1.590153513E0,-6.522089589E-1,1.001122915E0,1.989022828E0
