"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.481041597E-3,7.910612175E-2,2.908937162E-1,-1.671287723E-1,3.446867551E-1
1.742704166E-2,1.482446412E-1,3.030126554E-1,-1.616053462E-1,3.740446910E-1
2.737304172E-2,2.063376788E-1,3.108081633E-1,1.926879752E-1,4.198876134E-1
3.731904179E-2,3.618341830E-1,3.040663236E-1,6.214181060E-1,7.807309188E-1
4.726504162E-2,4.797305690E-1,2.523143721E-1,6.346930397E-1,8.346491573E-1
5.721204169E-2,4.462635916E-1,1.099855417E-1,4.044817275E-1,6.122527913E-1
6.715804175E-2,2.957193319E-1,1.776635545E-1,2.155733925E-1,4.067998887E-1
7.710404182E-2,2.225123199E-1,4.584848571E-1,8.664462626E-2,5.169404104E-1
8.705004165E-2,1.603876818E-1,6.123841578E-1,4.753903270E-2,6.348216480E-1
9.699604171E-2,1.051721320E-1,4.875028342E-1,-6.838464886E-3,4.987654312E-1
1.069420418E-1,-6.223109392E-2,2.065832984E-1,1.679524988E-2,2.164057501E-1
1.168880416E-1,-2.734300748E-1,1.142896771E-2,1.677554476E-1,3.209930175E-1
1.268340417E-1,-3.111465709E-1,-6.347152591E-2,5.280531286E-1,6.161825458E-1
1.367800417E-1,-3.674036925E-1,-1.231534714E-1,9.055436701E-1,9.849678112E-1
1.467270418E-1,-3.309585821E-1,-7.149799883E-2,1.074555684E0,1.126639013E0
1.566730416E-1,-1.082506728E-1,5.398383379E-2,1.091704398E0,1.098385614E0
1.666190417E-1,2.739249137E-1,2.015394902E-1,1.145595700E0,1.195007336E0
1.765650418E-1,6.159212847E-1,3.018011123E-1,1.258120103E0,1.432937240E0
1.865110416E-1,8.916291241E-1,3.615105397E-1,1.350639719E0,1.658288279E0
1.964570417E-1,9.473614215E-1,3.013912225E-1,1.303966513E0,1.639713084E0
2.064030417E-1,7.733131273E-1,1.130833966E-1,1.010481457E0,1.277448168E0
2.163490418E-1,4.821825989E-1,2.765265226E-2,6.420942990E-1,8.034611482E-1
2.262960416E-1,1.858611316E-1,2.865954280E-2,4.483896393E-1,4.862293679E-1
2.362420417E-1,2.255274732E-2,-3.749000788E-2,4.098097104E-1,4.121384789E-1
2.461880418E-1,-1.005319096E-2,-1.689278144E-1,4.338201320E-1,4.656582224E-1
2.561340418E-1,9.386414688E-2,-3.469351852E-1,3.254262024E-1,4.848471037E-1
2.660800416E-1,2.888345096E-1,-4.117650193E-1,-1.957649262E-1,5.397218834E-1
2.760260417E-1,3.072293019E-1,-1.646692872E-1,-2.988133313E-1,4.591244113E-1
2.859720418E-1,2.840499888E-1,8.297491372E-2,9.666076049E-2,3.113077819E-1
2.959180416E-1,5.064506634E-1,1.631466722E-1,3.287917136E-1,6.254703047E-1
3.058650417E-1,6.508363250E-1,2.293102562E-2,2.366945587E-1,6.929199578E-1
3.158110417E-1,6.015824867E-1,-1.211145473E-1,2.142400812E-1,6.499761797E-1
