"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.561291749E-3,-1.112322412E-1,1.104638439E-1,-7.259867871E-1,7.427191174E-1
1.150729181E-2,2.131749012E-1,1.578268754E-1,-2.484423641E-1,3.634232648E-1
2.145429165E-2,2.489320136E-1,1.045616645E-1,2.882420222E-1,3.949477844E-1
3.140129172E-2,2.488832259E-1,1.118209827E-1,5.858570945E-1,6.462780574E-1
4.134729179E-2,2.016894713E-1,9.368993640E-2,6.478118527E-1,6.849209031E-1
5.129429186E-2,1.654637776E-1,6.489356875E-2,4.957737207E-1,5.266697439E-1
6.124029169E-2,6.490771171E-2,1.249023736E-1,1.675800129E-1,2.188530893E-1
7.118729176E-2,-2.500057451E-2,1.852327752E-1,-1.050206892E-1,2.143957903E-1
8.113429183E-2,5.641718913E-2,2.083427256E-1,-2.047098505E-1,2.974822910E-1
9.108029166E-2,2.182103040E-1,2.011044574E-1,-2.759476483E-1,4.052232029E-1
1.010272917E-1,1.260528863E-1,1.600377077E-1,-3.327942789E-1,3.901966556E-1
1.109732918E-1,4.518728256E-3,1.303695202E-1,-3.386824250E-1,3.629358286E-1
1.209206667E-1,-9.715017244E-2,1.250824678E-1,-3.009281413E-1,3.400610621E-1
1.308676668E-1,-8.590619601E-2,4.112756073E-2,-5.118067861E-2,1.081240613E-1
1.408136669E-1,-3.046386930E-1,-1.307326323E-1,1.603025866E-1,3.682291048E-1
1.507606667E-1,-4.820771663E-1,-2.104190719E-1,1.720999471E-1,5.534374146E-1
1.607066668E-1,-4.283538259E-1,-2.390563953E-1,1.385813498E-1,5.097447899E-1
1.706536668E-1,-4.216305877E-1,-3.007223010E-1,1.245983001E-1,5.326640510E-1
1.806006667E-1,-5.481218690E-1,-4.614341927E-1,3.796129346E-1,8.108422026E-1
1.905466667E-1,-6.344876562E-1,-5.466386497E-1,5.745614433E-1,1.015632439E0
2.004936668E-1,-5.490944803E-1,-5.016273683E-1,3.703029978E-1,8.308183166E-1
2.104396669E-1,-3.864342964E-1,-3.841071045E-1,5.152917266E-2,5.472887618E-1
2.203866667E-1,-2.141201767E-1,-2.517898768E-1,-1.157748516E-1,3.502133755E-1
2.303336668E-1,-7.798204936E-2,-1.636050940E-1,-1.489671926E-1,2.346040308E-1
2.402796668E-1,2.399603383E-1,-5.416392803E-2,-1.609679997E-1,2.939819586E-1
2.502266667E-1,4.223831975E-1,-9.532423317E-2,-9.113351544E-2,4.424924774E-1
2.601726667E-1,1.681724637E-1,-2.542141324E-1,8.309478164E-2,3.159296526E-1
2.701196668E-1,-2.274363698E-1,-4.300200266E-1,2.339049800E-1,5.397740872E-1
2.800666667E-1,-3.548562255E-1,-5.249402171E-1,2.340079093E-1,6.754590098E-1
2.900126667E-1,-3.189994911E-1,-4.759060514E-1,2.194155979E-1,6.135066827E-1
2.999596668E-1,-1.682093012E-1,-2.592678809E-1,1.293322424E-1,3.350239275E-1
3.099056669E-1,-1.972163513E-2,-2.939746141E-2,-1.246263850E-1,1.295565107E-1
3.198526667E-1,1.367950255E-1,1.247006446E-1,-2.403790355E-1,3.033895358E-1
3.297996668E-1,2.823116482E-1,1.915606320E-1,-1.529315865E-1,3.738761995E-1
3.397456668E-1,3.507169085E-1,1.897398090E-1,-2.263926784E-2,3.993946438E-1
3.496926667E-1,3.483899359E-1,1.524532843E-1,4.032355031E-2,3.824180174E-1
3.596386667E-1,2.900860696E-1,1.293550283E-1,-3.190259133E-3,3.176363154E-1
3.695856668E-1,2.099734775E-1,1.332486892E-1,-9.980965057E-2,2.679664919E-1
3.795326669E-1,1.550663684E-1,1.018503106E-1,-3.225335848E-1,3.720846378E-1
3.894786667E-1,1.165510513E-1,5.847566485E-2,-4.176806474E-1,4.375621946E-1
3.994256668E-1,4.178131599E-2,-3.413546026E-2,-2.575464606E-1,2.631370126E-1
4.093716668E-1,9.719731562E-2,-6.948246360E-2,8.187972109E-2,1.448427411E-1
4.193186667E-1,2.010408324E-1,-1.361588484E-1,2.742390919E-1,3.662836712E-1
4.292656668E-1,1.517631666E-1,-2.325998998E-1,1.743090069E-1,3.278999878E-1
4.392116668E-1,2.085845811E-1,-2.200301403E-1,1.868537148E-2,3.037596636E-1
4.491586667E-1,3.974203010E-1,-1.534747928E-1,-9.824492653E-2,4.372064424E-1
4.591046667E-1,4.817441308E-1,-1.650704062E-1,-1.865554154E-1,5.423362145E-1
4.690516668E-1,4.581588017E-1,-2.864241046E-1,-9.689538002E-2,5.489416817E-1
4.789986669E-1,2.312991136E-1,-4.984973538E-1,1.891948485E-1,5.812001225E-1
4.889446667E-1,-2.662017651E-1,-7.798887599E-1,3.881030917E-1,9.108863086E-1
4.988916668E-1,-4.386994508E-1,-7.676441056E-1,6.728759426E-1,1.111079077E0
5.088376668E-1,-2.299289647E-1,-5.260161048E-1,1.018339384E0,1.169006147E0
5.187846667E-1,1.294387165E-1,-3.004486513E-1,1.009486699E0,1.061172544E0
5.287306667E-1,4.023518426E-1,-7.911107361E-2,7.741877246E-1,8.760777364E-1
5.386776668E-1,4.604243420E-1,1.940591472E-1,4.057260150E-1,6.436327575E-1
5.486246669E-1,4.317750318E-1,3.665280354E-1,7.810710669E-2,5.717282562E-1
5.585706667E-1,3.869681106E-1,4.681222379E-1,-4.010839105E-2,6.086800730E-1
5.685176668E-1,3.214529463E-1,5.662034333E-1,-4.950018883E-2,6.529690599E-1
5.784636668E-1,2.810298837E-1,5.023880911E-1,-5.461298277E-3,5.756747479E-1
5.884106667E-1,1.491840329E-1,4.045039469E-1,6.126010895E-2,4.354677022E-1
5.983576667E-1,-1.845787459E-1,4.196675313E-1,9.460327148E-2,4.681238396E-1
6.083036668E-1,-4.238031207E-1,4.545029032E-1,1.448437178E-1,6.380922165E-1
6.182506667E-1,-5.559767627E-1,4.478476024E-1,1.854596472E-1,7.376129855E-1
6.281966667E-1,-6.919582578E-1,5.974854523E-1,1.457476974E-1,9.257631919E-1
6.381436668E-1,-1.133602403E0,7.812441444E-1,-6.518242121E-2,1.378276304E0
6.480906669E-1,-1.968814959E0,6.886043680E-1,-3.445600462E-1,2.114031680E0
6.580366667E-1,-2.915855880E0,5.308640313E-1,-2.873099577E-1,2.977680162E0
6.679836668E-1,-3.929300852E0,3.647206610E-1,2.100542057E-1,3.951777969E0
6.779296668E-1,-4.727257800E0,1.892936665E-1,4.941797698E-1,4.756785895E0
6.878766667E-1,-5.382011175E0,3.835095191E-1,6.451817751E-1,5.434094530E0
6.978236667E-1,-5.825063476E0,1.061904649E0,6.172414398E-1,5.953149837E0
7.077696668E-1,-6.142943847E0,1.902724904E0,2.067154455E-1,6.434194001E0
7.177166669E-1,-6.912116999E0,2.323486449E0,-7.953207314E-2,7.292617914E0
7.276626667E-1,-8.268696758E0,2.174583009E0,3.858402193E-1,8.558564717E0
7.376096668E-1,-9.952541084E0,1.696419348E0,1.208300802E0,1.016813176E1
7.475566668E-1,-1.197553269E1,9.922263032E-1,2.102914857E0,1.219918633E1
7.575026667E-1,-1.448675043E1,6.066193879E-2,3.441082318E0,1.488995183E1
7.674496667E-1,-1.726242370E1,-6.810146821E-1,4.203553392E0,1.777990197E1
7.773956668E-1,-1.956624421E1,-2.848593897E-1,3.707012517E0,1.991635004E1
7.873426666E-1,-2.204210851E1,6.774063653E-1,3.116527351E0,2.227164497E1
7.972896667E-1,-2.478458831E1,1.842920752E0,2.736878164E0,2.500325332E1
8.072356668E-1,-2.718322376E1,2.589262866E0,2.913098041E0,2.746121039E1
8.171826669E-1,-2.931677919E1,2.161484077E0,4.306145130E0,2.971007307E1
8.271286667E-1,-3.144821326E1,4.422108865E-1,8.078303815E0,3.247221366E1
8.370756668E-1,-3.305288804E1,-1.280705119E0,1.442083243E1,3.608453992E1
8.470226668E-1,-3.228944282E1,-2.176115565E0,2.108782187E1,3.862693138E1
8.569686667E-1,-2.893644120E1,-2.003810399E0,2.620920393E1,3.909290545E1
8.669156667E-1,-2.449325196E1,-1.692468385E0,3.004389449E1,3.879973501E1
8.768616668E-1,-1.863677432E1,-2.930145013E0,3.400605436E1,3.888864667E1
8.868086669E-1,-9.744678415E0,-3.520968148E0,3.691717487E1,3.834362756E1
8.967556667E-1,2.097351231E0,-1.005246298E0,3.826217480E1,3.833279827E1
9.067016668E-1,1.291031419E1,1.733590098E0,3.507006284E1,3.741110603E1
9.166486668E-1,2.168128385E1,4.155277610E0,2.782539773E1,3.551896902E1
9.265946667E-1,2.854386850E1,7.360168085E0,1.876328701E1,3.494260212E1
9.365416667E-1,3.345893975E1,9.840404352E0,1.092111365E1,3.654592905E1
9.464886668E-1,3.622318288E1,1.040794797E1,5.486210897E0,3.808599308E1
9.564346669E-1,3.571376410E1,8.440964502E0,2.870057856E0,3.680978212E1
9.663816667E-1,3.258583584E1,4.625603079E0,3.314666101E0,3.307899504E1
9.763276668E-1,2.996818007E1,1.071478295E0,6.080059966E0,3.059750009E1
9.862746669E-1,2.625218564E1,-1.290375829E0,8.038899429E0,2.748574585E1
9.962216667E-1,2.116795679E1,-3.608256553E0,6.927788122E0,2.256315931E1
1.006167667E0,1.698760690E1,-4.905383577E0,4.912389711E0,1.835138003E1
1.016114667E0,1.479015894E1,-5.139103804E0,3.806235673E0,1.611355390E1
1.026060667E0,1.294937593E1,-5.043764952E0,1.936214247E0,1.403120905E1
1.036007667E0,1.028125050E1,-4.944323110E0,-4.738209343E-1,1.141818502E1
1.045954667E0,8.447791711E0,-5.106792675E0,-1.522952925E0,9.988188115E0
1.055900667E0,8.045828964E0,-5.064765227E0,-1.251794146E0,9.589275213E0
1.065847667E0,8.376570286E0,-4.341818408E0,-1.547474978E0,9.561014363E0
1.075793667E0,8.566711214E0,-2.892096596E0,-1.895569081E0,9.238286956E0
1.085740667E0,8.358759082E0,-1.501905288E0,-1.458751667E0,8.616990734E0
1.095687667E0,7.740441170E0,-7.632043147E-1,4.741121256E-1,7.792412504E0
1.105633667E0,6.709931976E0,-4.107405871E-1,2.604153385E0,7.209265553E0
1.115580667E0,5.430047806E0,-7.314515948E-2,3.437956982E0,6.427310293E0
1.125526333E0,4.681803592E0,-2.248950237E-1,2.839889731E0,5.480404760E0
1.135473334E0,4.545679243E0,-8.734980047E-2,1.032041749E0,4.662181886E0
1.145419333E0,5.002399995E0,5.064483976E-1,-5.114033282E-1,5.053912252E0
1.155366333E0,6.111303978E0,1.298901654E0,-6.065012741E-1,6.277182936E0
1.165313334E0,7.071057769E0,2.023123752E0,4.744138420E-1,7.370071654E0
1.175259333E0,6.096152088E0,1.715781818E0,1.131405823E0,6.433277288E0
1.185206333E0,4.084554660E0,7.028277200E-1,6.453162611E-1,4.194518644E0
1.195153333E0,2.425990917E0,1.410050207E-1,-3.448184931E-1,2.454427456E0
1.205099334E0,1.571358223E0,-1.614047867E-1,-7.952985120E-1,1.768535522E0
1.215046333E0,1.323912681E0,-3.356138062E-1,-6.937709677E-1,1.531894112E0
1.224992333E0,1.451044890E0,-2.730825126E-2,-7.620091438E-1,1.639187283E0
1.234939334E0,1.624354023E0,2.716955531E-1,-9.856744981E-1,1.919348505E0
1.244885333E0,1.589773882E0,5.253501070E-1,-8.952356136E-1,1.898636494E0
1.254832333E0,1.429562658E0,5.809068418E-1,-9.133596432E-1,1.793133567E0
1.264779333E0,1.280137501E0,4.718194324E-1,-9.075112581E-1,1.638579349E0
1.274725333E0,1.208115299E0,5.056052291E-1,-6.300924504E-1,1.453339506E0
1.284672333E0,9.356676480E-1,3.278177136E-1,-3.377164285E-1,1.047373280E0
1.294618333E0,3.930762948E-1,5.757870197E-2,-4.135665464E-1,5.734645314E-1
1.304565334E0,5.585867040E-2,3.370335102E-2,-4.311350906E-1,4.360430865E-1
1.314512333E0,3.129992612E-1,1.721560621E-1,-4.424003363E-3,3.572475599E-1
1.324458333E0,5.584287561E-1,1.468919975E-1,9.918164134E-2,5.858813297E-1
1.334405334E0,2.276877270E-1,-2.936120868E-2,5.515563408E-2,2.361057508E-1
1.344351333E0,-7.908768475E-2,-1.948350728E-1,-1.111508918E-1,2.378446724E-1
1.354298333E0,-1.872163700E-1,-4.483089477E-1,1.097674588E-1,4.980760753E-1
1.364245333E0,-3.734426603E-2,-5.144427109E-1,3.651516008E-1,6.319664458E-1
1.374191334E0,3.298322256E-1,-1.543998224E-1,1.379311395E-1,3.894272736E-1
1.384138333E0,1.412797668E-1,-1.161642945E-1,-5.289052141E-1,5.596381342E-1
1.394084333E0,-1.266210164E-1,-3.249367905E-1,-1.043876513E0,1.100588467E0
1.404031334E0,-8.023651645E-2,-3.432701504E-1,-8.910256183E-1,9.582269811E-1
1.413978333E0,-5.081383891E-2,-3.323563224E-1,-3.026354734E-1,4.523615822E-1
1.423924333E0,9.236517660E-2,-2.815446031E-1,1.674245318E-1,3.403375725E-1
1.433871333E0,2.181946993E-1,-6.576129556E-2,2.856973139E-1,3.654537317E-1
1.443817333E0,2.039120711E-1,9.079731882E-2,4.540561759E-1,5.059558249E-1
1.453764333E0,2.125408072E-1,2.262679499E-1,2.238442973E-1,3.827232020E-1
