"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.271416813E-3,-7.426431656E-1,-1.698089898E-1,-4.392596506E-2,7.630749995E-1
1.921841665E-2,-4.502462399E-1,-5.896916986E-2,8.171783544E-2,4.613857867E-1
2.916441672E-2,-5.592974696E-1,-1.276043719E-1,5.484578647E-2,5.762851686E-1
3.911141679E-2,-7.805000862E-1,-1.340737313E-1,-1.203978248E-3,7.919328252E-1
4.905741662E-2,-7.876247723E-1,-8.604528666E-2,-4.460840821E-3,7.923234645E-1
5.900441669E-2,-6.808780765E-1,-7.753934205E-2,9.817007303E-2,6.922749944E-1
6.895141676E-2,-4.848113243E-1,-1.529497129E-1,3.372703224E-1,6.100712296E-1
7.889741682E-2,-4.983637815E-1,-2.576593119E-1,4.106294900E-1,6.952491336E-1
8.884441666E-2,-5.839313141E-1,-2.816627169E-1,3.274954955E-1,7.263352980E-1
9.879041673E-2,-6.853755355E-1,-3.099375129E-1,6.468365371E-2,7.549734178E-1
1.087374168E-1,-8.592046322E-1,-3.097199965E-1,-2.175052395E-1,9.388650624E-1
1.186844166E-1,-9.898413701E-1,-3.308991963E-1,-4.453572732E-1,1.134734910E0
1.286304167E-1,-9.101898676E-1,-2.564331508E-1,-4.390300012E-1,1.042569373E0
1.385774168E-1,-7.218093900E-1,-2.744267875E-1,-2.193588799E-1,8.027684445E-1
1.485234168E-1,-7.156345841E-1,-3.359897822E-1,2.020618659E-2,7.908415023E-1
1.584704167E-1,-6.299770410E-1,-3.710713220E-1,1.531659868E-1,7.470105874E-1
1.684174167E-1,-7.039238537E-1,-3.731312960E-1,2.374408096E-1,8.313326013E-1
1.783634168E-1,-8.993462062E-1,-3.460241890E-1,4.228629615E-1,1.052316218E0
1.883104166E-1,-9.873307950E-1,-3.957576817E-1,5.750409150E-1,1.209180836E0
1.982564167E-1,-1.004157985E0,-4.248972809E-1,7.356575701E-1,1.315318600E0
2.082034168E-1,-8.673362819E-1,-3.910857564E-1,7.878093251E-1,1.235258608E0
2.181504166E-1,-5.667006659E-1,-1.793048680E-1,5.951436424E-1,8.411277165E-1
2.280964167E-1,-3.699458060E-1,7.295746386E-2,3.707315256E-1,5.287953811E-1
2.380434168E-1,-3.847527833E-1,8.660895824E-2,2.150898278E-1,4.492209367E-1
2.479894168E-1,-5.854771717E-1,3.499149263E-2,1.549588893E-1,6.066466686E-1
2.579364167E-1,-7.380598256E-1,-3.000791073E-3,2.528295118E-1,7.801692592E-1
2.678824167E-1,-5.635674354E-1,4.797698915E-2,6.273372424E-1,8.446668345E-1
2.778294168E-1,-3.079323564E-1,1.020502853E-1,1.030087609E0,1.079961610E0
2.877764166E-1,-3.524608040E-1,1.319862753E-1,1.125252140E0,1.186524915E0
2.977224167E-1,-5.453551859E-1,2.609688359E-1,1.050249905E0,1.211834096E0
3.076694168E-1,-4.014368630E-1,3.522011876E-1,8.826676083E-1,1.031648844E0
3.176154168E-1,-2.155032442E-2,5.734697682E-1,7.655366959E-1,9.567541086E-1
3.275624167E-1,1.877124697E-1,1.130629313E0,8.921102037E-1,1.452383982E0
3.375094167E-1,-7.955611981E-1,1.981443629E0,1.559868005E0,2.644281504E0
3.474554168E-1,-4.565706833E0,2.917559466E0,2.681916676E0,6.045701711E0
3.574024166E-1,-1.225879053E1,4.739620276E0,3.839267179E0,1.369240366E1
3.673484167E-1,-2.246574162E1,8.520039323E0,3.625714585E0,2.429910334E1
3.772954168E-1,-3.136961031E1,1.320660898E1,1.316191286E0,3.406169889E1
3.872424166E-1,-3.860341597E1,1.370577993E1,-5.890736479E-1,4.096851396E1
3.971884167E-1,-5.092973014E1,6.326480345E0,1.326512792E0,5.133830346E1
4.071354168E-1,-6.558874656E1,-7.243459414E0,1.034761406E1,6.679389565E1
4.170814168E-1,-6.734000168E1,-1.807163391E1,2.308348826E1,7.344458598E1
4.270284167E-1,-6.232234221E1,-2.204949939E1,3.507749582E1,7.483772762E1
4.369754167E-1,-4.860201440E1,-2.271581300E1,4.107798570E1,6.756896384E1
4.469214168E-1,-2.439904864E1,-2.056283078E1,4.120833651E1,5.211785281E1
4.568684166E-1,4.355678648E0,-1.463626607E1,3.618054732E1,3.927116277E1
4.668144167E-1,2.592638814E1,-7.920681008E0,2.879400537E1,3.954756042E1
4.767614168E-1,4.138749520E1,-4.286796108E0,2.528590285E1,4.868961144E1
4.867084168E-1,5.133008198E1,-3.009464248E0,2.477987311E1,5.707780920E1
4.966544167E-1,5.401052984E1,1.384152889E-1,1.805604172E1,5.694889933E1
5.066014167E-1,5.302428231E1,4.835086597E0,3.958392504E0,5.339121134E1
5.165474168E-1,5.323360328E1,4.179787969E0,-6.966376237E0,5.384995398E1
5.264944166E-1,5.267228461E1,-5.473350531E-1,-1.148997172E1,5.391371432E1
5.364414167E-1,4.093542123E1,-4.096215470E0,-1.193771290E1,4.283686125E1
5.463869167E-1,2.617481061E1,-8.640928752E0,-9.450943537E0,2.913943537E1
5.563339167E-1,1.342890492E1,-1.324404870E1,-6.516696117E0,1.995514073E1
5.662799168E-1,7.207880276E0,-1.318382238E1,-5.591577723E0,1.603223166E1
5.762269166E-1,6.755493481E0,-1.141586995E1,-6.817216104E0,1.491419506E1
5.861739167E-1,6.407818623E0,-9.932719023E0,-8.261596484E0,1.442126982E1
5.961199168E-1,4.875045007E0,-7.454428709E0,-8.808129299E0,1.252668004E1
6.060669168E-1,4.133239455E0,-4.699980247E0,-6.840331902E0,9.271656985E0
6.160129167E-1,4.679601823E0,-2.348111413E0,-2.242443455E0,5.695687236E0
6.259599167E-1,5.162567511E0,-1.252991656E0,3.106385356E0,6.154000436E0
6.359059168E-1,4.718044050E0,-4.550496179E-1,5.651820416E0,7.376319125E0
6.458529166E-1,3.892260495E0,6.338551337E-1,4.592056434E0,6.052970046E0
6.557999167E-1,3.457463001E0,1.687205890E0,1.417625860E0,4.100045999E0
6.657459168E-1,3.869557803E0,3.262506014E0,-9.527459031E-1,5.150257065E0
6.756929166E-1,4.557950209E0,4.275106355E0,-1.326446718E0,6.388341362E0
6.856389167E-1,4.290010323E0,4.175646386E0,-2.418859360E-1,5.991554065E0
6.955859168E-1,3.382156710E0,3.462334024E0,1.077907308E0,4.958691871E0
7.055329168E-1,2.346204928E0,2.379404542E0,2.007169624E0,3.898073042E0
7.154789167E-1,1.136825242E0,1.227294897E0,2.319934266E0,2.860195691E0
7.254259167E-1,4.299530759E-4,4.296896589E-1,2.720679038E0,2.754401535E0
7.353719168E-1,-4.096376926E-1,1.476240689E-1,3.049631696E0,3.080559914E0
7.453189166E-1,1.446844177E-1,4.232121134E-1,2.255087475E0,2.299013178E0
7.552659167E-1,5.553857554E-1,7.558280522E-1,1.252284728E0,1.564591455E0
7.652119168E-1,1.056315734E0,1.061200644E0,7.080738419E-1,1.656296562E0
7.751589168E-1,1.220447954E0,1.200619315E0,8.854836273E-1,1.927449403E0
7.851049167E-1,1.059423529E0,1.028287836E0,1.430246490E0,2.055567832E0
7.950519167E-1,7.137362856E-1,8.564416766E-1,1.961765848E0,2.256421298E0
8.049989168E-1,2.381917748E-1,6.684993017E-1,2.066988248E0,2.185421482E0
8.149449166E-1,-2.657607023E-1,3.258238131E-1,1.355333571E0,1.419055671E0
8.248919167E-1,-7.548422847E-1,2.420104086E-2,5.710612269E-1,9.468281207E-1
8.348379168E-1,-1.079191503E0,-3.920581484E-1,7.003180951E-1,1.344919822E0
8.447849166E-1,-1.110108510E0,-7.626716334E-1,1.509455212E0,2.022983925E0
8.547309167E-1,-5.100213753E-1,-6.380978733E-1,1.772348952E0,1.951540803E0
8.646779167E-1,-1.533332537E-1,-5.503662497E-1,1.393413709E0,1.505993314E0
8.746249168E-1,-4.773677822E-2,-5.188456643E-1,5.477338332E-1,7.559708826E-1
8.845709166E-1,2.469328140E-1,-2.134789199E-1,-3.682185385E-1,4.920710884E-1
8.945179167E-1,3.103017213E-1,-6.181559443E-2,-6.858064753E-1,7.552740215E-1
9.044649168E-1,2.580557897E-1,-1.879178166E-2,-1.791013849E-1,3.146795635E-1
9.144109166E-1,2.335346868E-1,-1.199790180E-1,9.148442513E-1,9.517738275E-1
9.243579167E-1,1.414632232E-1,-3.523783582E-1,1.753822634E0,1.794457071E0
9.343039168E-1,1.087447625E-1,-4.126163739E-1,1.751745703E0,1.802967194E0
9.442509168E-1,2.131723065E-1,-2.957141608E-1,1.245007283E0,1.297278857E0
9.541969167E-1,6.035820882E-1,-2.315374607E-1,7.356714573E-1,9.793535756E-1
9.641439167E-1,7.568958999E-1,-1.279581285E-1,5.983502555E-1,9.732870667E-1
9.740909168E-1,1.016679140E0,-7.696923852E-2,1.091095557E-1,1.025409982E0
9.840369166E-1,1.103189719E0,-2.825374603E-3,-7.365936363E-1,1.326501309E0
9.939839167E-1,8.959274854E-1,4.645028114E-2,-1.149652644E0,1.458267770E0
1.003929917E0,9.023097213E-1,5.608123004E-2,-1.051042203E0,1.386361298E0
1.013876917E0,5.895645216E-1,-1.496834582E-1,-5.541382885E-1,8.228369860E-1
1.023823917E0,6.236018948E-2,-6.344404399E-1,-2.712201744E-1,6.927942321E-1
1.033769917E0,-1.427123712E-1,-9.147050875E-1,-2.531178526E-1,9.597504183E-1
1.043716917E0,-3.847444876E-1,-1.083651613E0,-2.239238743E-1,1.171525092E0
1.053662917E0,-4.539253080E-1,-1.060421795E0,-2.099671552E-1,1.172445638E0
1.063609917E0,-3.798572020E-1,-8.664369071E-1,-1.981575338E-1,9.665768547E-1
1.073556917E0,-5.159748641E-1,-7.810324752E-1,-4.340095818E-4,9.360779754E-1
1.083502917E0,-6.662182298E-1,-8.458207941E-1,3.315300377E-1,1.126575213E0
1.093449917E0,-7.869141164E-1,-9.455590904E-1,4.115697954E-1,1.297191395E0
1.103395917E0,-1.049908793E0,-9.442288488E-1,3.026178952E-1,1.444110170E0
1.113342917E0,-1.104885119E0,-8.416493905E-1,8.021678209E-2,1.391251075E0
1.123289917E0,-7.296857357E-1,-6.642460370E-1,-1.098463780E-1,9.928395124E-1
1.133235917E0,-3.796537189E-1,-2.265451080E-1,-3.629665694E-1,5.720177993E-1
1.143182917E0,-1.433744587E-1,2.815416795E-1,-4.563652414E-1,5.550596241E-1
1.153128917E0,-9.590924710E-2,4.932810527E-1,7.483193502E-3,5.025741526E-1
1.163075917E0,-1.999536522E-1,3.939210713E-1,6.726039740E-1,8.047057719E-1
1.173021917E0,-4.653385247E-1,8.434959412E-2,1.159331540E0,1.252080036E0
1.182968917E0,-5.798623098E-1,-1.168162590E-1,1.131901667E0,1.277140447E0
1.192915917E0,-5.274189980E-1,-7.213534534E-2,6.559699611E-1,8.447904458E-1
1.202861917E0,-3.159537131E-1,1.459675527E-1,2.623007586E-1,4.358152856E-1
1.212808917E0,9.487714045E-2,2.738964450E-1,-1.079589698E-1,3.093154919E-1
1.222754917E0,3.001187953E-1,3.858384651E-1,-1.011118803E-1,4.991655284E-1
1.232701917E0,3.666509000E-1,3.954255599E-1,1.314278662E-1,5.550383229E-1
1.242648917E0,6.548508040E-1,3.398407584E-1,1.190066991E-1,7.473178112E-1
1.252594917E0,7.642394911E-1,2.243401229E-1,4.156083941E-2,7.975699305E-1
1.262541917E0,6.663935731E-1,1.233470142E-2,-1.072216360E-1,6.750770463E-1
1.272487917E0,6.629019814E-1,-1.923324645E-1,-1.194060639E-1,7.004917001E-1
1.282434917E0,9.503444517E-1,-2.968853581E-1,-4.516462460E-3,9.956484777E-1
1.292381917E0,1.352399877E0,-3.146784353E-1,-1.446140684E-2,1.388602563E0
